iso3,country,old_raw_rank,old_raw_index,internal_withdrawal_pct,internal_withdrawal_year,available_water_stress_pct,available_water_stress_year,total_withdrawal_bcm,total_withdrawal_year,rural_pct,rural_year,crop_mix_year,crop_item_count,crop_hhi,shannon_equitability,top_crop,top_crop_share,top3_crop_share,available_water_term,source_variant_score,has_internal_denominator_artifact,internal_to_available_ratio,internal_minus_available_pct_points,source_variant_rank,old_index_rank,available_water_rank,crop_hhi_rank,rural_rank,source_variant_rank_rebuilt,published_member,has_available_water,has_crop_mix,aligned_water_crop
TKM,Turkmenistan,1,79.4,1867.9715,2022,135.2138,2022,26.245,2022,52.8946,2025,2024,26,0.27795,0.47584,Wheat,0.37072,0.89845,1.3521,19.88,True,13.8149,1732.7577,1,1,1,18,21,1,True,True,True,True
AFG,Afghanistan,5,32.0,43.0159,2022,54.757,2022,20.282,2022,74.0598,2025,2024,41,0.41213,0.47962,Wheat,0.63609,0.70916,0.5476,16.71,False,0.7856,-11.7411,2,5,9,12,7,2,True,True,True,True
LKA,Sri Lanka,7,15.4,24.5189,2022,90.7854,2022,12.946,2022,79.5499,2025,2024,52,0.21952,0.56534,Rice,0.41456,0.69055,0.9079,15.85,False,0.2701,-66.2665,3,7,4,22,3,3,False,True,True,True
PAK,Pakistan,2,75.3,326.0,2022,109.9933,2022,179.3,2022,60.4744,2025,2024,78,0.18905,0.52565,Wheat,0.37958,0.61132,1.0999,12.58,True,2.9638,216.0067,4,2,3,27,16,4,True,True,True,True
UZB,Uzbekistan,4,41.3,262.5459,2022,123.0284,2022,42.9,2022,48.9827,2025,2024,76,0.18304,0.52158,Wheat,0.28499,0.72665,1.2303,11.03,True,2.134,139.5175,5,4,2,28,22,5,False,True,True,True
TJK,Tajikistan,15,9.0,16.7066,2022,69.9433,2022,10.602,2022,73.8352,2025,2024,44,0.12039,0.68051,Wheat,0.26058,0.49751,0.6994,6.22,False,0.2389,-53.2367,6,15,5,37,8,6,False,True,True,True
KAZ,Kazakhstan,9,14.7,38.7972,2022,34.6269,2022,24.966,2022,37.6144,2025,2024,66,0.42764,0.37059,Wheat,0.63877,0.81182,0.3463,5.57,False,1.1204,4.1703,7,9,12,10,28,7,False,True,True,True
AZE,Azerbaijan,3,54.4,160.5299,2022,57.527,2022,13.027,2022,41.3629,2025,2024,64,0.21492,0.54461,Wheat,0.38199,0.67997,0.5753,5.11,True,2.7905,103.0028,8,3,8,23,24,8,True,True,True,True
KGZ,Kyrgyzstan,11,10.3,15.7511,2022,50.039,2022,7.707,2022,65.2536,2025,2024,69,0.15247,0.57272,Barley,0.25563,0.61676,0.5004,4.98,False,0.3148,-34.2879,9,11,10,32,13,9,False,True,True,True
IND,India,6,23.9,44.7787,2022,66.4921,2022,647.5,2022,64.3108,2025,2024,84,0.09167,0.67603,Rice,0.22359,0.42176,0.6649,3.92,False,0.6734,-21.7134,10,6,6,40,14,10,False,True,True,True
MDV,Maldives,14,9.1,15.6667,2022,15.6667,2022,0.0047,2022,57.4938,2025,2024,20,0.39987,0.48331,"Other vegetables, fresh n.e.c.",0.60797,0.81277,0.1567,3.6,False,1.0,-0.0,11,14,18,13,19,11,False,True,True,True
VNM,Viet Nam,16,7.0,22.7761,2022,18.1303,2022,81.862,2022,61.1701,2025,2024,44,0.29167,0.55083,Rice,0.52342,0.65368,0.1813,3.23,False,1.2562,4.6458,12,16,17,16,15,12,False,True,True,True
ARM,Armenia,8,15.3,44.7879,2022,61.973,2022,3.072,2022,34.0713,2025,2024,41,0.13089,0.69723,Wheat,0.26501,0.54491,0.6197,2.76,False,0.7227,-17.1851,13,8,7,34,32,13,False,True,True,True
TLS,Timor-Leste,12,10.2,14.2666,2022,28.2682,2022,1.172,2022,71.2136,2025,2024,27,0.1334,0.7067,Maize (corn),0.22903,0.57375,0.2827,2.69,False,0.5047,-14.0016,14,12,14,33,9,14,False,True,True,True
