water_ceiling,crop_hhi_exponent,rural_exponent,top5,top5_text,overlap_baseline_count,overlap_baseline_jaccard,overlap_published_count
0.75,0.5,0.5,"['LKA', 'AFG', 'TKM', 'PAK', 'UZB']",LKA|AFG|TKM|PAK|UZB,5,1.0,3
0.75,0.5,1.0,"['LKA', 'AFG', 'TKM', 'PAK', 'TJK']",LKA|AFG|TKM|PAK|TJK,4,0.6667,3
0.75,0.5,1.5,"['LKA', 'AFG', 'TJK', 'PAK', 'TKM']",LKA|AFG|TJK|PAK|TKM,4,0.6667,3
0.75,1.0,0.5,"['AFG', 'TKM', 'LKA', 'PAK', 'UZB']",AFG|TKM|LKA|PAK|UZB,5,1.0,3
0.75,1.0,1.0,"['AFG', 'LKA', 'TKM', 'PAK', 'UZB']",AFG|LKA|TKM|PAK|UZB,5,1.0,3
0.75,1.0,1.5,"['AFG', 'LKA', 'TKM', 'PAK', 'TJK']",AFG|LKA|TKM|PAK|TJK,4,0.6667,3
0.75,1.5,0.5,"['AFG', 'TKM', 'LKA', 'KAZ', 'PAK']",AFG|TKM|LKA|KAZ|PAK,4,0.6667,3
0.75,1.5,1.0,"['AFG', 'LKA', 'TKM', 'PAK', 'KAZ']",AFG|LKA|TKM|PAK|KAZ,4,0.6667,3
0.75,1.5,1.5,"['AFG', 'LKA', 'TKM', 'PAK', 'KAZ']",AFG|LKA|TKM|PAK|KAZ,4,0.6667,3
1.5,0.5,0.5,"['TKM', 'LKA', 'PAK', 'UZB', 'AFG']",TKM|LKA|PAK|UZB|AFG,5,1.0,3
1.5,0.5,1.0,"['TKM', 'LKA', 'PAK', 'AFG', 'UZB']",TKM|LKA|PAK|AFG|UZB,5,1.0,3
1.5,0.5,1.5,"['LKA', 'TKM', 'PAK', 'AFG', 'UZB']",LKA|TKM|PAK|AFG|UZB,5,1.0,3
1.5,1.0,0.5,"['TKM', 'AFG', 'LKA', 'PAK', 'UZB']",TKM|AFG|LKA|PAK|UZB,5,1.0,3
1.5,1.0,1.0,"['TKM', 'AFG', 'LKA', 'PAK', 'UZB']",TKM|AFG|LKA|PAK|UZB,5,1.0,3
1.5,1.0,1.5,"['TKM', 'AFG', 'LKA', 'PAK', 'UZB']",TKM|AFG|LKA|PAK|UZB,5,1.0,3
1.5,1.5,0.5,"['TKM', 'AFG', 'LKA', 'PAK', 'UZB']",TKM|AFG|LKA|PAK|UZB,5,1.0,3
1.5,1.5,1.0,"['AFG', 'TKM', 'LKA', 'PAK', 'UZB']",AFG|TKM|LKA|PAK|UZB,5,1.0,3
1.5,1.5,1.5,"['AFG', 'TKM', 'LKA', 'PAK', 'UZB']",AFG|TKM|LKA|PAK|UZB,5,1.0,3
2.25,0.5,0.5,"['TKM', 'LKA', 'PAK', 'UZB', 'AFG']",TKM|LKA|PAK|UZB|AFG,5,1.0,3
2.25,0.5,1.0,"['TKM', 'LKA', 'PAK', 'AFG', 'UZB']",TKM|LKA|PAK|AFG|UZB,5,1.0,3
2.25,0.5,1.5,"['LKA', 'TKM', 'PAK', 'AFG', 'UZB']",LKA|TKM|PAK|AFG|UZB,5,1.0,3
2.25,1.0,0.5,"['TKM', 'AFG', 'LKA', 'PAK', 'UZB']",TKM|AFG|LKA|PAK|UZB,5,1.0,3
2.25,1.0,1.0,"['TKM', 'AFG', 'LKA', 'PAK', 'UZB']",TKM|AFG|LKA|PAK|UZB,5,1.0,3
2.25,1.0,1.5,"['TKM', 'AFG', 'LKA', 'PAK', 'UZB']",TKM|AFG|LKA|PAK|UZB,5,1.0,3
2.25,1.5,0.5,"['TKM', 'AFG', 'LKA', 'PAK', 'UZB']",TKM|AFG|LKA|PAK|UZB,5,1.0,3
2.25,1.5,1.0,"['AFG', 'TKM', 'LKA', 'PAK', 'UZB']",AFG|TKM|LKA|PAK|UZB,5,1.0,3
2.25,1.5,1.5,"['AFG', 'TKM', 'LKA', 'PAK', 'UZB']",AFG|TKM|LKA|PAK|UZB,5,1.0,3
