iso3,country,indicator_code,indicator_short,indicator_label,policy_surface,latest_year,indicator_global_latest_year,relative_lag_years,calendar_age_years,indicator_source_calendar_age_years,indicator_source_context,refresh_status,protocol_review_cell,value,missing,stale_ge_3_years
AFG,Afghanistan,SP.POP.TOTL,Population,"Population, total",denominator,2024,2024,0,2,2,standard-lag global series,latest_for_indicator,False,42647492.0,False,False
ARM,Armenia,SP.POP.TOTL,Population,"Population, total",denominator,2024,2024,0,2,2,standard-lag global series,latest_for_indicator,False,3033500.0,False,False
AZE,Azerbaijan,SP.POP.TOTL,Population,"Population, total",denominator,2024,2024,0,2,2,standard-lag global series,latest_for_indicator,False,10202830.0,False,False
BGD,Bangladesh,SP.POP.TOTL,Population,"Population, total",denominator,2024,2024,0,2,2,standard-lag global series,latest_for_indicator,False,173562364.0,False,False
BTN,Bhutan,SP.POP.TOTL,Population,"Population, total",denominator,2024,2024,0,2,2,standard-lag global series,latest_for_indicator,False,791524.0,False,False
BRN,Brunei Darussalam,SP.POP.TOTL,Population,"Population, total",denominator,2024,2024,0,2,2,standard-lag global series,latest_for_indicator,False,462721.0,False,False
KHM,Cambodia,SP.POP.TOTL,Population,"Population, total",denominator,2024,2024,0,2,2,standard-lag global series,latest_for_indicator,False,17638801.0,False,False
CHN,"China, People's Republic of",SP.POP.TOTL,Population,"Population, total",denominator,2024,2024,0,2,2,standard-lag global series,latest_for_indicator,False,1408975000.0,False,False
COK,Cook Islands,SP.POP.TOTL,Population,"Population, total",denominator,,2024,,,2,standard-lag global series,missing_public_field,True,,True,False
FJI,Fiji,SP.POP.TOTL,Population,"Population, total",denominator,2024,2024,0,2,2,standard-lag global series,latest_for_indicator,False,928784.0,False,False
GEO,Georgia,SP.POP.TOTL,Population,"Population, total",denominator,2024,2024,0,2,2,standard-lag global series,latest_for_indicator,False,3699557.0,False,False
HKG,"Hong Kong, China",SP.POP.TOTL,Population,"Population, total",denominator,2024,2024,0,2,2,standard-lag global series,latest_for_indicator,False,7524100.0,False,False
IND,India,SP.POP.TOTL,Population,"Population, total",denominator,2024,2024,0,2,2,standard-lag global series,latest_for_indicator,False,1450935791.0,False,False
IDN,Indonesia,SP.POP.TOTL,Population,"Population, total",denominator,2024,2024,0,2,2,standard-lag global series,latest_for_indicator,False,283487931.0,False,False
KAZ,Kazakhstan,SP.POP.TOTL,Population,"Population, total",denominator,2024,2024,0,2,2,standard-lag global series,latest_for_indicator,False,20592571.0,False,False
KIR,Kiribati,SP.POP.TOTL,Population,"Population, total",denominator,2024,2024,0,2,2,standard-lag global series,latest_for_indicator,False,134518.0,False,False
KGZ,Kyrgyz Republic,SP.POP.TOTL,Population,"Population, total",denominator,2024,2024,0,2,2,standard-lag global series,latest_for_indicator,False,7221868.0,False,False
LAO,Lao People's Democratic Republic,SP.POP.TOTL,Population,"Population, total",denominator,2024,2024,0,2,2,standard-lag global series,latest_for_indicator,False,7769819.0,False,False
MYS,Malaysia,SP.POP.TOTL,Population,"Population, total",denominator,2024,2024,0,2,2,standard-lag global series,latest_for_indicator,False,35557673.0,False,False
MDV,Maldives,SP.POP.TOTL,Population,"Population, total",denominator,2024,2024,0,2,2,standard-lag global series,latest_for_indicator,False,527799.0,False,False
MHL,Marshall Islands,SP.POP.TOTL,Population,"Population, total",denominator,2024,2024,0,2,2,standard-lag global series,latest_for_indicator,False,37548.0,False,False
FSM,"Micronesia, Federated States of",SP.POP.TOTL,Population,"Population, total",denominator,2024,2024,0,2,2,standard-lag global series,latest_for_indicator,False,113160.0,False,False
MNG,Mongolia,SP.POP.TOTL,Population,"Population, total",denominator,2024,2024,0,2,2,standard-lag global series,latest_for_indicator,False,3524788.0,False,False
MMR,Myanmar,SP.POP.TOTL,Population,"Population, total",denominator,2024,2024,0,2,2,standard-lag global series,latest_for_indicator,False,54500091.0,False,False
NRU,Nauru,SP.POP.TOTL,Population,"Population, total",denominator,2024,2024,0,2,2,standard-lag global series,latest_for_indicator,False,11947.0,False,False
NPL,Nepal,SP.POP.TOTL,Population,"Population, total",denominator,2024,2024,0,2,2,standard-lag global series,latest_for_indicator,False,29651054.0,False,False
PAK,Pakistan,SP.POP.TOTL,Population,"Population, total",denominator,2024,2024,0,2,2,standard-lag global series,latest_for_indicator,False,251269164.0,False,False
PLW,Palau,SP.POP.TOTL,Population,"Population, total",denominator,2024,2024,0,2,2,standard-lag global series,latest_for_indicator,False,17695.0,False,False
PNG,Papua New Guinea,SP.POP.TOTL,Population,"Population, total",denominator,2024,2024,0,2,2,standard-lag global series,latest_for_indicator,False,10576502.0,False,False
PHL,Philippines,SP.POP.TOTL,Population,"Population, total",denominator,2024,2024,0,2,2,standard-lag global series,latest_for_indicator,False,115843670.0,False,False
WSM,Samoa,SP.POP.TOTL,Population,"Population, total",denominator,2024,2024,0,2,2,standard-lag global series,latest_for_indicator,False,218019.0,False,False
SLB,Solomon Islands,SP.POP.TOTL,Population,"Population, total",denominator,2024,2024,0,2,2,standard-lag global series,latest_for_indicator,False,819198.0,False,False
LKA,Sri Lanka,SP.POP.TOTL,Population,"Population, total",denominator,2024,2024,0,2,2,standard-lag global series,latest_for_indicator,False,21916000.0,False,False
TJK,Tajikistan,SP.POP.TOTL,Population,"Population, total",denominator,2024,2024,0,2,2,standard-lag global series,latest_for_indicator,False,10590927.0,False,False
THA,Thailand,SP.POP.TOTL,Population,"Population, total",denominator,2024,2024,0,2,2,standard-lag global series,latest_for_indicator,False,71668011.0,False,False
TLS,Timor-Leste,SP.POP.TOTL,Population,"Population, total",denominator,2024,2024,0,2,2,standard-lag global series,latest_for_indicator,False,1400638.0,False,False
TON,Tonga,SP.POP.TOTL,Population,"Population, total",denominator,2024,2024,0,2,2,standard-lag global series,latest_for_indicator,False,104175.0,False,False
TKM,Turkmenistan,SP.POP.TOTL,Population,"Population, total",denominator,2024,2024,0,2,2,standard-lag global series,latest_for_indicator,False,7494498.0,False,False
TUV,Tuvalu,SP.POP.TOTL,Population,"Population, total",denominator,2024,2024,0,2,2,standard-lag global series,latest_for_indicator,False,9646.0,False,False
UZB,Uzbekistan,SP.POP.TOTL,Population,"Population, total",denominator,2024,2024,0,2,2,standard-lag global series,latest_for_indicator,False,36361859.0,False,False
VUT,Vanuatu,SP.POP.TOTL,Population,"Population, total",denominator,2024,2024,0,2,2,standard-lag global series,latest_for_indicator,False,327777.0,False,False
VNM,Viet Nam,SP.POP.TOTL,Population,"Population, total",denominator,2024,2024,0,2,2,standard-lag global series,latest_for_indicator,False,100987686.0,False,False
AFG,Afghanistan,SH.XPD.CHEX.GD.ZS,Health spend,Current health expenditure (% GDP),health finance,2023,2024,1,3,2,standard-lag global series,one_reference_year_watch,False,14.985763,False,False
ARM,Armenia,SH.XPD.CHEX.GD.ZS,Health spend,Current health expenditure (% GDP),health finance,2023,2024,1,3,2,standard-lag global series,one_reference_year_watch,False,9.321192,False,False
AZE,Azerbaijan,SH.XPD.CHEX.GD.ZS,Health spend,Current health expenditure (% GDP),health finance,2023,2024,1,3,2,standard-lag global series,one_reference_year_watch,False,4.271135,False,False
BGD,Bangladesh,SH.XPD.CHEX.GD.ZS,Health spend,Current health expenditure (% GDP),health finance,2023,2024,1,3,2,standard-lag global series,one_reference_year_watch,False,2.170146,False,False
BTN,Bhutan,SH.XPD.CHEX.GD.ZS,Health spend,Current health expenditure (% GDP),health finance,2023,2024,1,3,2,standard-lag global series,one_reference_year_watch,False,4.415516,False,False
BRN,Brunei Darussalam,SH.XPD.CHEX.GD.ZS,Health spend,Current health expenditure (% GDP),health finance,2023,2024,1,3,2,standard-lag global series,one_reference_year_watch,False,2.228607,False,False
KHM,Cambodia,SH.XPD.CHEX.GD.ZS,Health spend,Current health expenditure (% GDP),health finance,2023,2024,1,3,2,standard-lag global series,one_reference_year_watch,False,4.617068,False,False
CHN,"China, People's Republic of",SH.XPD.CHEX.GD.ZS,Health spend,Current health expenditure (% GDP),health finance,2023,2024,1,3,2,standard-lag global series,one_reference_year_watch,False,5.943889,False,False
COK,Cook Islands,SH.XPD.CHEX.GD.ZS,Health spend,Current health expenditure (% GDP),health finance,,2024,,,2,standard-lag global series,missing_public_field,True,,True,False
FJI,Fiji,SH.XPD.CHEX.GD.ZS,Health spend,Current health expenditure (% GDP),health finance,2023,2024,1,3,2,standard-lag global series,one_reference_year_watch,False,3.615242,False,False
GEO,Georgia,SH.XPD.CHEX.GD.ZS,Health spend,Current health expenditure (% GDP),health finance,2023,2024,1,3,2,standard-lag global series,one_reference_year_watch,False,6.857589,False,False
HKG,"Hong Kong, China",SH.XPD.CHEX.GD.ZS,Health spend,Current health expenditure (% GDP),health finance,,2024,,,2,standard-lag global series,missing_public_field,True,,True,False
IND,India,SH.XPD.CHEX.GD.ZS,Health spend,Current health expenditure (% GDP),health finance,2023,2024,1,3,2,standard-lag global series,one_reference_year_watch,False,3.33944,False,False
IDN,Indonesia,SH.XPD.CHEX.GD.ZS,Health spend,Current health expenditure (% GDP),health finance,2023,2024,1,3,2,standard-lag global series,one_reference_year_watch,False,2.702399,False,False
KAZ,Kazakhstan,SH.XPD.CHEX.GD.ZS,Health spend,Current health expenditure (% GDP),health finance,2023,2024,1,3,2,standard-lag global series,one_reference_year_watch,False,3.767015,False,False
KIR,Kiribati,SH.XPD.CHEX.GD.ZS,Health spend,Current health expenditure (% GDP),health finance,2023,2024,1,3,2,standard-lag global series,one_reference_year_watch,False,10.945256,False,False
KGZ,Kyrgyz Republic,SH.XPD.CHEX.GD.ZS,Health spend,Current health expenditure (% GDP),health finance,2023,2024,1,3,2,standard-lag global series,one_reference_year_watch,False,4.503445,False,False
