country,iso3,market_id,market,admin1,admin2,latitude,longitude,month,commodity,unit,retail_price_npr,price_anomaly_pct,lagged_precipitation_month,lagged_power_prectotcorr_mm_day,lagged_precipitation_z,lagged_power_t2m_c,lagged_temperature_z,price_spike_screen,dry_price_spike_screen,non_dry_price_spike_screen,wet_price_spike_screen,hot_price_spike_screen,weather_alignment_status
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2019-01,Rice (coarse),KG,40.0,-4.879,2018-12,0.14,-0.0884,13.33,-0.2492,False,False,False,False,False,not_price_spike
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2019-02,Rice (coarse),KG,40.0,-9.531,2019-01,0.09,-0.2383,13.18,1.3118,False,False,False,False,False,not_price_spike
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2019-03,Rice (coarse),KG,40.0,-11.7783,2019-02,1.06,1.3601,15.05,0.5988,False,False,False,False,False,not_price_spike
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2019-04,Rice (coarse),KG,40.0,-18.2322,2019-03,0.6,-0.7623,18.7,-0.447,False,False,False,False,False,not_price_spike
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2019-05,Rice (coarse),KG,45.0,-2.1979,2019-04,3.01,1.0294,22.44,-0.0736,False,False,False,False,False,not_price_spike
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2019-06,Rice (coarse),KG,42.0,-17.4353,2019-05,3.02,-1.2723,24.85,1.8984,False,False,False,False,False,not_price_spike
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2019-07,Rice (coarse),KG,45.0,-6.367,2019-06,3.73,-1.1061,26.04,1.5565,False,False,False,False,False,not_price_spike
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2019-08,Rice (coarse),KG,45.0,-18.2322,2019-07,16.08,0.969,24.19,0.2107,False,False,False,False,False,not_price_spike
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2019-09,Rice (coarse),KG,45.0,-20.0671,2019-08,5.08,-1.4146,24.16,1.4782,False,False,False,False,False,not_price_spike
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2019-10,Rice (coarse),KG,45.0,-21.8689,2019-09,9.49,0.2676,22.39,-1.6427,False,False,False,False,False,not_price_spike
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2019-11,Rice (coarse),KG,40.0,-31.8454,2019-10,0.34,-1.0303,19.84,-1.1613,False,False,False,False,False,not_price_spike
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2019-12,Rice (coarse),KG,40.0,-19.2206,2019-11,0.04,-0.2954,17.79,1.3871,False,False,False,False,False,not_price_spike
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2020-01,Rice (coarse),KG,40.0,-4.879,2019-12,0.36,1.1079,12.3,-1.9321,False,False,False,False,False,not_price_spike
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2020-02,Rice (coarse),KG,40.0,-9.531,2020-01,0.67,2.459,11.25,-1.6151,False,False,False,False,False,not_price_spike
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2020-03,Rice (coarse),KG,42.0,-6.8993,2020-02,1.14,1.554,13.44,-0.8758,False,False,False,False,False,not_price_spike
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2020-04,Rice (coarse),KG,40.0,-18.2322,2020-03,3.24,0.8223,17.77,-1.4195,False,False,False,False,False,not_price_spike
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2020-05,Rice (coarse),KG,45.0,-2.1979,2020-04,2.49,0.3204,20.99,-1.6853,False,False,False,False,False,not_price_spike
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2020-06,Rice (coarse),KG,48.0,-4.0822,2020-05,4.14,-0.3831,23.05,-0.7738,False,False,False,False,False,not_price_spike
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2020-07,Rice (coarse),KG,45.0,-6.367,2020-06,12.03,0.4398,23.79,-1.1349,False,False,False,False,False,not_price_spike
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2020-08,Rice (coarse),KG,40.0,-30.0105,2020-07,18.73,1.6584,23.4,-2.0848,False,False,False,False,False,not_price_spike
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2020-09,Rice (coarse),KG,42.0,-26.9664,2020-08,7.8,-0.3906,23.8,-0.0368,False,False,False,False,False,not_price_spike
