iso3,admin1_code,admin1_name,normalized_admin1_name,population_year,population,population_source,osm_health_facilities,osm_schools,osm_markets,osm_people_per_health_facility,access_stress_index,osm_timestamp,source_join_status,government_health_centers_2010,government_health_posts_2010,government_referral_hospitals_2010,operational_district_points_2010_context,government_facilities_2010_included,government_people_per_facility_2010,osm_to_government_facility_ratio,osm_load_to_government_load_ratio,join_note,rank_osm_health_load_joined_only,rank_government_health_load_2010_joined_only,rank_shift_after_2010_inventory
KHM,KH-1,Bantey Meanchey,Banteay Meanchey,2020,968391,WorldPop Global Project population count,24,113,4,40350,64.0,2026-04-06T02:42:41Z,joined_public_facility_inventory,55,11,5,4,71,13639,0.338,2.96,,16,12,4
KHM,KH-10,Kratie,Kratie,2020,457402,WorldPop Global Project population count,13,45,5,35185,60.0,2026-04-21T17:01:53Z,joined_public_facility_inventory,26,11,2,2,39,11728,0.3333,3.0,,18,18,0
KHM,KH-11,Mondulkiri,Mondulkiri,2020,158522,WorldPop Global Project population count,8,21,5,19815,37.0,2026-04-12T13:51:34Z,joined_public_facility_inventory,6,10,1,1,17,9325,0.4706,2.12,,21,21,0
KHM,KH-12,Phnom Penh,Phnom Penh,2020,2585050,WorldPop Global Project population count,227,416,113,11388,28.0,2026-04-23T06:57:21Z,joined_public_facility_inventory,17,0,5,4,22,117502,10.3182,0.1,OSM count exceeds the 2010 public-facility inventory; interpret as scope/vintage mismatch.,24,1,23
KHM,KH-13,Preah Vihear,Preah Vihear,2020,399443,WorldPop Global Project population count,8,47,5,49930,63.0,2026-04-06T02:42:41Z,joined_public_facility_inventory,13,18,1,1,32,12483,0.25,4.0,,12,14,-2
KHM,KH-14,Prey Veng,Prey Veng,2020,955591,WorldPop Global Project population count,8,79,4,119449,78.0,2026-04-23T06:58:21Z,joined_public_facility_inventory,90,0,7,7,97,9851,0.0825,12.13,,5,20,-15
KHM,KH-15,Pursat,Pursat,2020,453836,WorldPop Global Project population count,5,70,10,90767,55.0,2026-04-06T02:42:41Z,joined_public_facility_inventory,32,3,2,2,37,12266,0.1351,7.4,,8,16,-8
KHM,KH-16,Ratanakiri Province,Ratanakiri Province,2020,277726,WorldPop Global Project population count,7,23,2,39675,71.0,2026-04-23T07:00:24Z,joined_public_facility_inventory,10,14,1,1,25,11109,0.28,3.57,,17,19,-2
KHM,KH-17,Siem Reap,Siem Reap,2020,1337231,WorldPop Global Project population count,53,285,34,25231,34.0,2026-04-23T07:01:34Z,joined_public_facility_inventory,64,5,4,4,73,18318,0.726,1.38,,20,6,14
KHM,KH-18,Preah Sihanouk,Preah Sihanouk,2020,305920,WorldPop Global Project population count,18,41,9,16996,36.0,2026-04-12T15:21:00Z,joined_public_facility_inventory,12,1,1,1,14,21851,1.2857,0.78,OSM count exceeds the 2010 public-facility inventory; interpret as scope/vintage mismatch.,22,5,17
KHM,KH-19,Stung Treng,Stung Treng,2020,172250,WorldPop Global Project population count,2,12,2,86125,73.0,2026-04-23T07:02:35Z,joined_public_facility_inventory,10,3,1,1,14,12304,0.1429,7.0,,9,15,-6
KHM,KH-2,Battambang,Battambang,2020,1971075,WorldPop Global Project population count,48,99,13,41064,74.0,2026-04-21T17:01:53Z,joined_public_facility_inventory,74,3,4,5,81,24334,0.5926,1.69,,15,4,11
KHM,KH-20,Svay Rieng,Svay Rieng,2020,502367,WorldPop Global Project population count,5,45,2,100473,76.0,2026-04-06T02:42:41Z,joined_public_facility_inventory,37,0,3,3,40,12559,0.125,8.0,,7,13,-6
KHM,KH-21,Takeo,Takeo,2020,938117,WorldPop Global Project population count,18,191,17,52118,51.0,2026-04-23T07:04:45Z,joined_public_facility_inventory,71,2,5,5,78,12027,0.2308,4.33,,11,17,-6
KHM,KH-22,Oddar Meanchey,Oddar Meanchey,2020,1277653,WorldPop Global Project population count,4,99,4,319413,79.0,2026-04-23T07:04:45Z,joined_public_facility_inventory,13,2,2,1,17,75156,0.2353,4.25,,1,2,-1
KHM,KH-23,Kep,Kep,2020,46111,WorldPop Global Project population count,4,11,5,11528,24.0,2026-04-21T17:01:53Z,joined_public_facility_inventory,4,0,1,1,5,9222,0.8,1.25,,23,22,1
KHM,KH-24,Pailin,Pailin,2020,412952,WorldPop Global Project population count,4,1,1,103238,82.0,2026-04-06T02:42:41Z,joined_public_facility_inventory,5,0,1,1,6,68825,0.6667,1.5,,6,3,3
KHM,KH-25,Tbong Khmum,Tbong Khmum,2020,985395,WorldPop Global Project population count,7,107,8,140771,70.0,2026-04-21T17:01:53Z,no_2010_source_province_match,0,0,0,0,0,,,,Not present as a distinct PNAME in the 2010 source; needs boundary-year crosswalk.,,,
KHM,KH-3,Kampong Cham,Kampong Cham,2020,950580,WorldPop Global Project population count,28,159,20,33949,44.0,2026-04-23T07:07:45Z,joined_public_facility_inventory,134,0,11,10,145,6556,0.1931,5.18,,19,24,-5
KHM,KH-4,Kampong Chhnang,Kampong Chhnang,2020,551823,WorldPop Global Project population count,2,38,6,275912,74.0,2026-04-21T17:01:53Z,joined_public_facility_inventory,34,3,2,3,39,14149,0.0513,19.5,,2,11,-9
KHM,KH-5,Kampong Speu,Kampong Speu,2020,902838,WorldPop Global Project population count,5,85,7,180568,73.0,2026-04-23T07:07:45Z,joined_public_facility_inventory,50,0,3,3,53,17035,0.0943,10.6,,3,7,-4
KHM,KH-6,Kampong Thom,Kampong Thom,2020,754382,WorldPop Global Project population count,12,59,6,62865,76.0,2026-04-06T02:42:41Z,joined_public_facility_inventory,50,0,3,3,53,14234,0.2264,4.42,,10,10,0
KHM,KH-7,Kampot,Kampot,2020,783299,WorldPop Global Project population count,19,61,8,41226,68.0,2026-04-23T07:08:50Z,joined_public_facility_inventory,48,0,4,4,52,15063,0.3654,2.74,,14,8,6
KHM,KH-8,Kandal,Kandal,2020,1366009,WorldPop Global Project population count,30,331,17,45534,49.0,2026-04-21T17:01:53Z,joined_public_facility_inventory,89,0,5,8,94,14532,0.3191,3.13,,13,9,4
KHM,KH-9,Koh Kong,Koh Kong,2020,126436,WorldPop Global Project population count,1,12,2,126436,67.0,2026-04-21T17:01:53Z,joined_public_facility_inventory,12,3,2,2,17,7437,0.0588,17.0,,4,23,-19
