generated_at,attestation_chain,status,method,bmkg_operation_maintenance_scan_id,method_classification_audit_id,source_station_id,source_station_name,exact_station_detail_url,exact_station_detail_retrieved,exact_station_detail_timestamp_raw,exact_station_detail_timestamp_iso,exact_station_detail_recent_within_30_days,exact_station_detail_value_raw,exact_station_detail_method_terms,daily_inspection_sop_context,daily_inspection_procedure_context,maintenance_check_context,calibration_procedure_context,calibration_service_tariff_context,regional_bam1020_model_context,station_specific_inspection_log_found,station_specific_calibration_certificate_found,current_status_confirmed,calibration_status_available,complete_monitor_grade_classification_available,station_radius_grade_assumption_ready,operation_maintenance_decision,reader_use,non_claim
2026-06-19T15:40:17Z,ai-first,computed_bmkg_operation_maintenance_source_scan,air_monitoring_bmkg_operation_maintenance_source_scan_v1,IDN-bmkg-operation-maintenance-pm25_bjb2,IDN-method-classification-pm25_bjb2,pm25_bjb2,Banjarbaru,https://www.bmkg.go.id/kualitas-udara/pm25/pm25_bjb2,True,"19 Jun 2026, 21.00 WIB",2026-06-19T14:00:00Z,True,,Beta Attenuation Monitoring|Beta Attenuation|sinar beta,True,True,True,True,True,True,False,False,False,False,False,False,bmkg_operation_and_calibration_context_keep_not_status_certified,"Use as source-level BMKG operation and calibration-context evidence for BAM rows. The evidence still does not provide a station-specific inspection log, calibration certificate, public current-status certification, or complete grade basis.","This scan records public BMKG operation, maintenance, calibration-procedure, and service-tariff context for the 22 BMKG BAM method-classified rows. It does not certify station current status, station-specific inspection logs, station-specific calibration certificates, complete monitor-grade status, same-station OpenAQ joins, or station-radius coverage."
2026-06-19T15:40:17Z,ai-first,computed_bmkg_operation_maintenance_source_scan,air_monitoring_bmkg_operation_maintenance_source_scan_v1,IDN-bmkg-operation-maintenance-pm25_btm2,IDN-method-classification-pm25_btm2,pm25_btm2,Batam,https://www.bmkg.go.id/kualitas-udara/pm25/pm25_btm2,True,"19 Jun 2026, 21.00 WIB",2026-06-19T14:00:00Z,True,,Beta Attenuation Monitoring|Beta Attenuation|sinar beta,True,True,True,True,True,True,False,False,False,False,False,False,bmkg_operation_and_calibration_context_keep_not_status_certified,"Use as source-level BMKG operation and calibration-context evidence for BAM rows. The evidence still does not provide a station-specific inspection log, calibration certificate, public current-status certification, or complete grade basis.","This scan records public BMKG operation, maintenance, calibration-procedure, and service-tariff context for the 22 BMKG BAM method-classified rows. It does not certify station current status, station-specific inspection logs, station-specific calibration certificates, complete monitor-grade status, same-station OpenAQ joins, or station-radius coverage."
2026-06-19T15:40:17Z,ai-first,computed_bmkg_operation_maintenance_source_scan,air_monitoring_bmkg_operation_maintenance_source_scan_v1,IDN-bmkg-operation-maintenance-pm25_idp2,IDN-method-classification-pm25_idp2,pm25_idp2,Indrapuri,https://www.bmkg.go.id/kualitas-udara/pm25/pm25_idp2,True,"19 Jun 2026, 21.00 WIB",2026-06-19T14:00:00Z,True,,Beta Attenuation Monitoring|Beta Attenuation|sinar beta,True,True,True,True,True,True,False,False,False,False,False,False,bmkg_operation_and_calibration_context_keep_not_status_certified,"Use as source-level BMKG operation and calibration-context evidence for BAM rows. The evidence still does not provide a station-specific inspection log, calibration certificate, public current-status certification, or complete grade basis.","This scan records public BMKG operation, maintenance, calibration-procedure, and service-tariff context for the 22 BMKG BAM method-classified rows. It does not certify station current status, station-specific inspection logs, station-specific calibration certificates, complete monitor-grade status, same-station OpenAQ joins, or station-radius coverage."
2026-06-19T15:40:17Z,ai-first,computed_bmkg_operation_maintenance_source_scan,air_monitoring_bmkg_operation_maintenance_source_scan_v1,IDN-bmkg-operation-maintenance-pm25_jm3,IDN-method-classification-pm25_jm3,pm25_jm3,Kota Jambi,https://www.bmkg.go.id/kualitas-udara/pm25/pm25_jm3,True,"19 Jun 2026, 21.00 WIB",2026-06-19T14:00:00Z,True,,Beta Attenuation Monitoring|Beta Attenuation|sinar beta,True,True,True,True,True,True,False,False,False,False,False,False,bmkg_operation_and_calibration_context_keep_not_status_certified,"Use as source-level BMKG operation and calibration-context evidence for BAM rows. The evidence still does not provide a station-specific inspection log, calibration certificate, public current-status certification, or complete grade basis.","This scan records public BMKG operation, maintenance, calibration-procedure, and service-tariff context for the 22 BMKG BAM method-classified rows. It does not certify station current status, station-specific inspection logs, station-specific calibration certificates, complete monitor-grade status, same-station OpenAQ joins, or station-radius coverage."
2026-06-19T15:40:17Z,ai-first,computed_bmkg_operation_maintenance_source_scan,air_monitoring_bmkg_operation_maintenance_source_scan_v1,IDN-bmkg-operation-maintenance-pm25_jm4,IDN-method-classification-pm25_jm4,pm25_jm4,Muaro Jambi,https://www.bmkg.go.id/kualitas-udara/pm25/pm25_jm4,True,"19 Jun 2026, 21.00 WIB",2026-06-19T14:00:00Z,True,,Beta Attenuation Monitoring|Beta Attenuation|sinar beta,True,True,True,True,True,True,False,False,False,False,False,False,bmkg_operation_and_calibration_context_keep_not_status_certified,"Use as source-level BMKG operation and calibration-context evidence for BAM rows. The evidence still does not provide a station-specific inspection log, calibration certificate, public current-status certification, or complete grade basis.","This scan records public BMKG operation, maintenance, calibration-procedure, and service-tariff context for the 22 BMKG BAM method-classified rows. It does not certify station current status, station-specific inspection logs, station-specific calibration certificates, complete monitor-grade status, same-station OpenAQ joins, or station-radius coverage."
2026-06-19T15:40:17Z,ai-first,computed_bmkg_operation_maintenance_source_scan,air_monitoring_bmkg_operation_maintenance_source_scan_v1,IDN-bmkg-operation-maintenance-pm25_kmy3,IDN-method-classification-pm25_kmy3,pm25_kmy3,Kemayoran,https://www.bmkg.go.id/kualitas-udara/pm25/pm25_kmy3,True,"19 Jun 2026, 21.00 WIB",2026-06-19T14:00:00Z,True,,Beta Attenuation Monitoring|Beta Attenuation|sinar beta,True,True,True,True,True,True,False,False,False,False,False,False,bmkg_operation_and_calibration_context_keep_not_status_certified,"Use as source-level BMKG operation and calibration-context evidence for BAM rows. The evidence still does not provide a station-specific inspection log, calibration certificate, public current-status certification, or complete grade basis.","This scan records public BMKG operation, maintenance, calibration-procedure, and service-tariff context for the 22 BMKG BAM method-classified rows. It does not certify station current status, station-specific inspection logs, station-specific calibration certificates, complete monitor-grade status, same-station OpenAQ joins, or station-radius coverage."
2026-06-19T15:40:17Z,ai-first,computed_bmkg_operation_maintenance_source_scan,air_monitoring_bmkg_operation_maintenance_source_scan_v1,IDN-bmkg-operation-maintenance-pm25_ktb2,IDN-method-classification-pm25_ktb2,pm25_ktb2,Kototabang,https://www.bmkg.go.id/kualitas-udara/pm25/pm25_ktb2,True,"19 Jun 2026, 21.00 WIB",2026-06-19T14:00:00Z,True,,Beta Attenuation Monitoring|Beta Attenuation|sinar beta,True,True,True,True,True,True,False,False,False,False,False,False,bmkg_operation_and_calibration_context_keep_not_status_certified,"Use as source-level BMKG operation and calibration-context evidence for BAM rows. The evidence still does not provide a station-specific inspection log, calibration certificate, public current-status certification, or complete grade basis.","This scan records public BMKG operation, maintenance, calibration-procedure, and service-tariff context for the 22 BMKG BAM method-classified rows. It does not certify station current status, station-specific inspection logs, station-specific calibration certificates, complete monitor-grade status, same-station OpenAQ joins, or station-radius coverage."
2026-06-19T15:40:17Z,ai-first,computed_bmkg_operation_maintenance_source_scan,air_monitoring_bmkg_operation_maintenance_source_scan_v1,IDN-bmkg-operation-maintenance-pm25_mdn2,IDN-method-classification-pm25_mdn2,pm25_mdn2,Medan,https://www.bmkg.go.id/kualitas-udara/pm25/pm25_mdn2,True,"19 Jun 2026, 21.00 WIB",2026-06-19T14:00:00Z,True,,Beta Attenuation Monitoring|Beta Attenuation|sinar beta,True,True,True,True,True,True,False,False,False,False,False,False,bmkg_operation_and_calibration_context_keep_not_status_certified,"Use as source-level BMKG operation and calibration-context evidence for BAM rows. The evidence still does not provide a station-specific inspection log, calibration certificate, public current-status certification, or complete grade basis.","This scan records public BMKG operation, maintenance, calibration-procedure, and service-tariff context for the 22 BMKG BAM method-classified rows. It does not certify station current status, station-specific inspection logs, station-specific calibration certificates, complete monitor-grade status, same-station OpenAQ joins, or station-radius coverage."
2026-06-19T15:40:17Z,ai-first,computed_bmkg_operation_maintenance_source_scan,air_monitoring_bmkg_operation_maintenance_source_scan_v1,IDN-bmkg-operation-maintenance-pm25_mrs,IDN-method-classification-pm25_mrs,pm25_mrs,Maros,https://www.bmkg.go.id/kualitas-udara/pm25/pm25_mrs,True,"19 Jun 2026, 21.00 WIB",2026-06-19T14:00:00Z,True,,Beta Attenuation Monitoring|Beta Attenuation|sinar beta,True,True,True,True,True,True,False,False,False,False,False,False,bmkg_operation_and_calibration_context_keep_not_status_certified,"Use as source-level BMKG operation and calibration-context evidence for BAM rows. The evidence still does not provide a station-specific inspection log, calibration certificate, public current-status certification, or complete grade basis.","This scan records public BMKG operation, maintenance, calibration-procedure, and service-tariff context for the 22 BMKG BAM method-classified rows. It does not certify station current status, station-specific inspection logs, station-specific calibration certificates, complete monitor-grade status, same-station OpenAQ joins, or station-radius coverage."
2026-06-19T15:40:17Z,ai-first,computed_bmkg_operation_maintenance_source_scan,air_monitoring_bmkg_operation_maintenance_source_scan_v1,IDN-bmkg-operation-maintenance-pm25_msg,IDN-method-classification-pm25_msg,pm25_msg,Pesawaran,https://www.bmkg.go.id/kualitas-udara/pm25/pm25_msg,True,"19 Jun 2026, 21.00 WIB",2026-06-19T14:00:00Z,True,,Beta Attenuation Monitoring|Beta Attenuation|sinar beta,True,True,True,True,True,True,False,False,False,False,False,False,bmkg_operation_and_calibration_context_keep_not_status_certified,"Use as source-level BMKG operation and calibration-context evidence for BAM rows. The evidence still does not provide a station-specific inspection log, calibration certificate, public current-status certification, or complete grade basis.","This scan records public BMKG operation, maintenance, calibration-procedure, and service-tariff context for the 22 BMKG BAM method-classified rows. It does not certify station current status, station-specific inspection logs, station-specific calibration certificates, complete monitor-grade status, same-station OpenAQ joins, or station-radius coverage."
