generated_at,attestation_chain,status,method,one_signal_id,signal_lane,review_priority,iso3,iso2,country,source_name,source_url,source_station_id,source_station_name,source_station_type,official_latitude,official_longitude,nearest_openaq_location_id,nearest_openaq_location_name,nearest_openaq_distance_km,best_openaq_name_overlap,missing_second_signal,grade_evidence_category,grade_evidence_strength,candidate_same_station_validated,complete_monitor_grade_classification_available,station_radius_join_ready,next_public_review_step,minimum_promotion_evidence,reader_use,non_claim
2026-06-19T09:09:25Z,ai-first,computed_review_queue,air_monitoring_one_signal_review_queue_v1,MYS-near_only_candidate-CA01R-4985405,near_only_candidate,priority_2_subkilometer_proximity_only,MYS,MY,Malaysia,MyEQMS,https://eqms.doe.gov.my/,CA01R,"Kangar, PERLIS",APIMS/MyEQMS current-reading station,6.429928,100.210937,4985405,SM SAINS TUANKU SYED PUTRA,0.662,0,"No name-overlap, station-ID crosswalk, source-owner confirmation, or documented co-location.",,,False,False,False,"Look for an official/OpenAQ station ID, public source-owner crosswalk, current-status page, or documented co-location before treating the records as one station.","Promotion requires a shared station ID, documented source-owner crosswalk, current-status page naming both records, documented co-location evidence, or station-owner/regulator method documentation that classifies the monitor.","Use this row as a review lead only. It has one reconciliation signal, but it is not a same-station join.","This one-signal queue is a triage artifact. It does not validate same-station joins, does not complete monitor-grade classification, and does not make any row ready for station-radius population coverage."
2026-06-19T09:09:25Z,ai-first,computed_review_queue,air_monitoring_one_signal_review_queue_v1,UZB-near_only_candidate-730-8881,near_only_candidate,priority_2_subkilometer_proximity_only,UZB,UZ,Uzbekistan,Interactive map of atmospheric air quality,https://monitoring.meteo.uz/en/map,730,Safia,automatic HORIBA marker,41.375633,69.27063,8881,US Diplomatic Post: Tashkent,0.951,0,"No name-overlap, station-ID crosswalk, source-owner confirmation, or documented co-location.",,,False,False,False,"Look for an official/OpenAQ station ID, public source-owner crosswalk, current-status page, or documented co-location before treating the records as one station.","Promotion requires a shared station ID, documented source-owner crosswalk, current-status page naming both records, documented co-location evidence, or station-owner/regulator method documentation that classifies the monitor.","Use this row as a review lead only. It has one reconciliation signal, but it is not a same-station join.","This one-signal queue is a triage artifact. It does not validate same-station joins, does not complete monitor-grade classification, and does not make any row ready for station-radius population coverage."
2026-06-19T09:09:25Z,ai-first,computed_review_queue,air_monitoring_one_signal_review_queue_v1,GEO-monitor-grade-provenance-only-01005,monitor_grade_provenance_only,priority_3_grade_provenance_coordinate_row,GEO,GE,Georgia,Modern ambient air quality monitoring station opened in Mestia,https://nea.gov.ge/En/News/1287,01005,Tazakendi (working in test mode),air.gov.ge hourly station,,,,,,,"The row is from an official portal or automatic/current-reading station, but the public audit found no complete monitor-grade classification.",automatic_or_official_portal_signal,station_type_or_portal_signal_only,False,False,False,"Find instrument, certification, audit, or regulator method documentation before using grade language.","Promotion requires a shared station ID, documented source-owner crosswalk, current-status page naming both records, documented co-location evidence, or station-owner/regulator method documentation that classifies the monitor.",Use this row to target monitor-grade documentation. Official or automatic provenance alone is not monitor-grade certification.,"This one-signal queue is a triage artifact. It does not validate same-station joins, does not complete monitor-grade classification, and does not make any row ready for station-radius population coverage."
2026-06-19T09:09:25Z,ai-first,computed_review_queue,air_monitoring_one_signal_review_queue_v1,GEO-monitor-grade-provenance-only-AGMS,monitor_grade_provenance_only,priority_3_grade_provenance_coordinate_row,GEO,GE,Georgia,Modern ambient air quality monitoring station opened in Mestia,https://nea.gov.ge/En/News/1287,AGMS,Tbilisi - Davit Agmashenebeli Ave. № 73a,air.gov.ge hourly station,,,,,,,"The row is from an official portal or automatic/current-reading station, but the public audit found no complete monitor-grade classification.",automatic_or_official_portal_signal,station_type_or_portal_signal_only,False,False,False,"Find instrument, certification, audit, or regulator method documentation before using grade language.","Promotion requires a shared station ID, documented source-owner crosswalk, current-status page naming both records, documented co-location evidence, or station-owner/regulator method documentation that classifies the monitor.",Use this row to target monitor-grade documentation. Official or automatic provenance alone is not monitor-grade certification.,"This one-signal queue is a triage artifact. It does not validate same-station joins, does not complete monitor-grade classification, and does not make any row ready for station-radius population coverage."
2026-06-19T09:09:25Z,ai-first,computed_review_queue,air_monitoring_one_signal_review_queue_v1,GEO-monitor-grade-provenance-only-BTUM,monitor_grade_provenance_only,priority_3_grade_provenance_coordinate_row,GEO,GE,Georgia,Modern ambient air quality monitoring station opened in Mestia,https://nea.gov.ge/En/News/1287,BTUM,Batumi - T. Abuseridze Street №1,air.gov.ge hourly station,,,,,,,"The row is from an official portal or automatic/current-reading station, but the public audit found no complete monitor-grade classification.",automatic_or_official_portal_signal,station_type_or_portal_signal_only,False,False,False,"Find instrument, certification, audit, or regulator method documentation before using grade language.","Promotion requires a shared station ID, documented source-owner crosswalk, current-status page naming both records, documented co-location evidence, or station-owner/regulator method documentation that classifies the monitor.",Use this row to target monitor-grade documentation. Official or automatic provenance alone is not monitor-grade certification.,"This one-signal queue is a triage artifact. It does not validate same-station joins, does not complete monitor-grade classification, and does not make any row ready for station-radius population coverage."
2026-06-19T09:09:25Z,ai-first,computed_review_queue,air_monitoring_one_signal_review_queue_v1,GEO-monitor-grade-provenance-only-KUTS,monitor_grade_provenance_only,priority_3_grade_provenance_coordinate_row,GEO,GE,Georgia,Modern ambient air quality monitoring station opened in Mestia,https://nea.gov.ge/En/News/1287,KUTS,Kutaisi - Lado Asatiani St.№98,air.gov.ge hourly station,,,,,,,"The row is from an official portal or automatic/current-reading station, but the public audit found no complete monitor-grade classification.",automatic_or_official_portal_signal,station_type_or_portal_signal_only,False,False,False,"Find instrument, certification, audit, or regulator method documentation before using grade language.","Promotion requires a shared station ID, documented source-owner crosswalk, current-status page naming both records, documented co-location evidence, or station-owner/regulator method documentation that classifies the monitor.",Use this row to target monitor-grade documentation. Official or automatic provenance alone is not monitor-grade certification.,"This one-signal queue is a triage artifact. It does not validate same-station joins, does not complete monitor-grade classification, and does not make any row ready for station-radius population coverage."
2026-06-19T09:09:25Z,ai-first,computed_review_queue,air_monitoring_one_signal_review_queue_v1,GEO-monitor-grade-provenance-only-KZBG,monitor_grade_provenance_only,priority_3_grade_provenance_coordinate_row,GEO,GE,Georgia,Modern ambient air quality monitoring station opened in Mestia,https://nea.gov.ge/En/News/1287,KZBG,Tbilisi - Kazbegi Ave. near Vaso Godziashvili Garden,air.gov.ge hourly station,,,,,,,"The row is from an official portal or automatic/current-reading station, but the public audit found no complete monitor-grade classification.",automatic_or_official_portal_signal,station_type_or_portal_signal_only,False,False,False,"Find instrument, certification, audit, or regulator method documentation before using grade language.","Promotion requires a shared station ID, documented source-owner crosswalk, current-status page naming both records, documented co-location evidence, or station-owner/regulator method documentation that classifies the monitor.",Use this row to target monitor-grade documentation. Official or automatic provenance alone is not monitor-grade certification.,"This one-signal queue is a triage artifact. It does not validate same-station joins, does not complete monitor-grade classification, and does not make any row ready for station-radius population coverage."
2026-06-19T09:09:25Z,ai-first,computed_review_queue,air_monitoring_one_signal_review_queue_v1,GEO-monitor-grade-provenance-only-ORN01,monitor_grade_provenance_only,priority_3_grade_provenance_coordinate_row,GEO,GE,Georgia,Modern ambient air quality monitoring station opened in Mestia,https://nea.gov.ge/En/News/1287,ORN01,Tbilisi - Marshal Gelovani Avenue №34,air.gov.ge hourly station,,,,,,,"The row is from an official portal or automatic/current-reading station, but the public audit found no complete monitor-grade classification.",automatic_or_official_portal_signal,station_type_or_portal_signal_only,False,False,False,"Find instrument, certification, audit, or regulator method documentation before using grade language.","Promotion requires a shared station ID, documented source-owner crosswalk, current-status page naming both records, documented co-location evidence, or station-owner/regulator method documentation that classifies the monitor.",Use this row to target monitor-grade documentation. Official or automatic provenance alone is not monitor-grade certification.,"This one-signal queue is a triage artifact. It does not validate same-station joins, does not complete monitor-grade classification, and does not make any row ready for station-radius population coverage."
2026-06-19T09:09:25Z,ai-first,computed_review_queue,air_monitoring_one_signal_review_queue_v1,GEO-monitor-grade-provenance-only-ORN02,monitor_grade_provenance_only,priority_3_grade_provenance_coordinate_row,GEO,GE,Georgia,Modern ambient air quality monitoring station opened in Mestia,https://nea.gov.ge/En/News/1287,ORN02,Rustavi - Friendship Ave. №35a,air.gov.ge hourly station,,,,,,,"The row is from an official portal or automatic/current-reading station, but the public audit found no complete monitor-grade classification.",automatic_or_official_portal_signal,station_type_or_portal_signal_only,False,False,False,"Find instrument, certification, audit, or regulator method documentation before using grade language.","Promotion requires a shared station ID, documented source-owner crosswalk, current-status page naming both records, documented co-location evidence, or station-owner/regulator method documentation that classifies the monitor.",Use this row to target monitor-grade documentation. Official or automatic provenance alone is not monitor-grade certification.,"This one-signal queue is a triage artifact. It does not validate same-station joins, does not complete monitor-grade classification, and does not make any row ready for station-radius population coverage."
2026-06-19T09:09:25Z,ai-first,computed_review_queue,air_monitoring_one_signal_review_queue_v1,GEO-monitor-grade-provenance-only-ORN03,monitor_grade_provenance_only,priority_3_grade_provenance_coordinate_row,GEO,GE,Georgia,Modern ambient air quality monitoring station opened in Mestia,https://nea.gov.ge/En/News/1287,ORN03,"Batumi - Batumi Central Park, 6 May Park",air.gov.ge hourly station,,,,,,,"The row is from an official portal or automatic/current-reading station, but the public audit found no complete monitor-grade classification.",automatic_or_official_portal_signal,station_type_or_portal_signal_only,False,False,False,"Find instrument, certification, audit, or regulator method documentation before using grade language.","Promotion requires a shared station ID, documented source-owner crosswalk, current-status page naming both records, documented co-location evidence, or station-owner/regulator method documentation that classifies the monitor.",Use this row to target monitor-grade documentation. Official or automatic provenance alone is not monitor-grade certification.,"This one-signal queue is a triage artifact. It does not validate same-station joins, does not complete monitor-grade classification, and does not make any row ready for station-radius population coverage."
