generated_at,attestation_chain,status,method,iso3,iso2,country,subregion,upgrade_queue_class,openaq_pm25_rows,openaq_zero_pm25_rows,source_name,agency,url,source_tier,source_class,official_source_candidate,official_station_inventory_or_portal,station_inventory_signal,station_inventory_signal_present,monitor_grade_signal,monitor_grade_signal_present,pm25_signal,pm25_signal_present,official_station_count_claim,official_station_count_claim_present,source_note,next_validation_step,search_query,retrieval_status,http_status,content_type,final_url,error,non_claim
2026-06-19T06:50:40Z,ai-first,computed,air_monitoring_regulator_source_inventory_v1,AFG,AF,Afghanistan,South Asia,baseline_top5_and_positive_gdp_residual,2,False,No official station-inventory source found in targeted web search,,,search_result,not_found_in_targeted_search,False,False,no,False,unknown,False,unknown,False,,False,Targeted web search did not locate an official public PM2.5 station inventory; this is not proof none exists.,Search national regulator and Kabul municipality sources in Dari/Pashto and check embassy or project monitors separately.,Afghanistan official air quality monitoring National Environmental Protection Agency PM2.5 stations,not_applicable_no_url,,,,,"This is a regulator-source discovery pass. It does not validate monitor grade, does not prove no monitor exists, does not reconcile source station counts with OpenAQ rows, and does not compute station-radius population coverage."
2026-06-19T06:50:40Z,ai-first,computed,air_monitoring_regulator_source_inventory_v1,BGD,BD,Bangladesh,South Asia,baseline_top5_and_positive_gdp_residual,22,False,Ambient Air Quality in Bangladesh,Department of Environment,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/014a6e225cf849098389d835538afdc9.pdf,official_government_pdf,official_station_inventory,True,True,yes,True,partial,False,yes,True,31 monitoring sites; 16 CAMS; 15 C-CAMS,True,DoE report states the monitoring network covers 31 sites in 23 districts and discusses PM2.5/PM10 monitoring.,Extract station table and compare station names/coordinates to OpenAQ rows.,Bangladesh Department of Environment official ambient air quality monitoring CAMS PM2.5,retrieved,200,application/pdf,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/014a6e225cf849098389d835538afdc9.pdf,,"This is a regulator-source discovery pass. It does not validate monitor grade, does not prove no monitor exists, does not reconcile source station counts with OpenAQ rows, and does not compute station-radius population coverage."
2026-06-19T06:50:40Z,ai-first,computed,air_monitoring_regulator_source_inventory_v1,MMR,MM,Myanmar,Southeast Asia,baseline_top5_and_positive_gdp_residual,3,False,Project for the Improvement of Capability of Air Quality Monitoring,Government Project Bank,https://www.projectbank.gov.mm/en/profiles/activity/PB-ID-1317/,official_government_page,official_station_plan,True,True,planned,True,unknown,False,likely,True,5 mobile-type air quality monitoring stations planned,True,"Government Project Bank profile describes a project with five mobile-type air quality monitoring stations in Naypyitaw, Yangon, Mandalay, Shan State, and Sagaing.",Find current ECD operating status and whether PM2.5 data are public and active.,Myanmar official air quality monitoring Environmental Conservation Department PM2.5 stations,retrieval_error,,,,URLError: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1028)>,"This is a regulator-source discovery pass. It does not validate monitor grade, does not prove no monitor exists, does not reconcile source station counts with OpenAQ rows, and does not compute station-radius population coverage."
2026-06-19T06:50:40Z,ai-first,computed,air_monitoring_regulator_source_inventory_v1,UZB,UZ,Uzbekistan,Central and West Asia,baseline_top5_and_positive_gdp_residual,4,False,Interactive map of atmospheric air quality,Uzhydromet,https://monitoring.meteo.uz/en/map,official_government_portal,official_station_inventory,True,True,yes,True,partial,False,yes,True,26 cities; 66 stationary pollution observation points; 23 automatic stations,True,Uzhydromet map states observations are conducted in 26 cities at 66 stationary pollution observation points and 23 automatic stations; the same page provides PM2.5 categories.,Extract downloadable station coordinates and separate POP from automatic stations.,Uzbekistan official air quality monitoring stations Uzhydromet PM2.5,retrieved,200,text/html; charset=utf-8,https://monitoring.meteo.uz/en/map,,"This is a regulator-source discovery pass. It does not validate monitor grade, does not prove no monitor exists, does not reconcile source station counts with OpenAQ rows, and does not compute station-radius population coverage."
2026-06-19T06:50:40Z,ai-first,computed,air_monitoring_regulator_source_inventory_v1,TJK,TJ,Tajikistan,Central and West Asia,baseline_top5_monitor_metadata,7,False,Official explanation on atmospheric air pollution ranking,Hydrometeorology Agency,https://www.meteo.tj/en/news/2026/04/04/-351,official_government_page,official_station_inventory,True,True,yes,True,partial,False,yes,True,1 automatic station in Dushanbe referenced,True,"Hydrometeorology Agency states it carries out atmospheric air quality monitoring and that a Dushanbe automatic station measures PM10, PM2.5, PM1, gases, and meteorology.",Find station list beyond Dushanbe and determine whether data are public and current.,Tajikistan official air quality monitoring stations hydrometeorology PM2.5,retrieved,200,text/html; charset=UTF-8,https://www.meteo.tj/en/news/2026/04/04/-351,,"This is a regulator-source discovery pass. It does not validate monitor grade, does not prove no monitor exists, does not reconcile source station counts with OpenAQ rows, and does not compute station-radius population coverage."
2026-06-19T06:50:40Z,ai-first,computed,air_monitoring_regulator_source_inventory_v1,AZE,AZ,Azerbaijan,Central and West Asia,positive_gdp_residual_monitor_metadata,2,False,No official station-inventory source found in targeted web search,,,search_result,not_found_in_targeted_search,False,False,no,False,unknown,False,unknown,False,,False,Targeted web search did not locate an official public PM2.5 station inventory; U.S. Embassy and secondary sources exist but do not validate national regulator coverage.,Search Ministry of Ecology and Natural Resources Azerbaijani/Russian pages and UNECE environmental monitoring reports.,Azerbaijan official air quality monitoring stations Ministry Ecology air quality,not_applicable_no_url,,,,,"This is a regulator-source discovery pass. It does not validate monitor grade, does not prove no monitor exists, does not reconcile source station counts with OpenAQ rows, and does not compute station-radius population coverage."
2026-06-19T06:50:40Z,ai-first,computed,air_monitoring_regulator_source_inventory_v1,GEO,GE,Georgia,Central and West Asia,positive_gdp_residual_monitor_metadata,2,False,Modern ambient air quality monitoring station opened in Mestia,National Environment Agency,https://nea.gov.ge/En/News/1287,official_government_page,official_station_inventory,True,True,yes,True,partial,False,yes,True,18 ambient air quality monitoring stations; 15 automatic; 3 mobile,True,NEA states the country has 18 ambient air quality stations and that the new station measures PM10 and PM2.5 among other pollutants.,Open air.gov.ge or NEA portal and extract station list with coordinates and pollutant coverage.,Georgia National Environment Agency official air quality monitoring stations PM2.5,retrieved,200,text/html; charset=utf-8,https://nea.gov.ge/En/News/1287,,"This is a regulator-source discovery pass. It does not validate monitor grade, does not prove no monitor exists, does not reconcile source station counts with OpenAQ rows, and does not compute station-radius population coverage."
2026-06-19T06:50:40Z,ai-first,computed,air_monitoring_regulator_source_inventory_v1,IDN,ID,Indonesia,Southeast Asia,positive_gdp_residual_monitor_metadata,36,False,Konsentrasi Partikulat PM2.5,BMKG,https://www.bmkg.go.id/kualitas-udara/pm25,official_government_page,official_air_quality_portal,True,True,yes,True,unknown,False,yes,True,,False,"BMKG publishes current PM2.5 concentration information for locations across Indonesia; this is an official PM2.5 data portal, not yet a regulator inventory.",Extract station/location list from BMKG and search KLHK ISPU station metadata.,site:menlhk.go.id ISPU monitoring station PM2.5 Indonesia official,retrieved,200,text/html;charset=utf-8,https://www.bmkg.go.id/kualitas-udara/pm25,,"This is a regulator-source discovery pass. It does not validate monitor grade, does not prove no monitor exists, does not reconcile source station counts with OpenAQ rows, and does not compute station-radius population coverage."
2026-06-19T06:50:40Z,ai-first,computed,air_monitoring_regulator_source_inventory_v1,LKA,LK,Sri Lanka,South Asia,positive_gdp_residual_monitor_metadata,3,False,Air Quality Monitoring,Central Environmental Authority,https://www.cea.lk/web/en/air-quality,official_government_page,official_station_inventory,True,True,yes,True,partial,False,yes,True,2 automated ambient air quality monitoring stations; 3 sensor-based units under test,True,"CEA states it operates automated ambient stations at Battaramulla and Kandy and monitors PM2.5, PM10, SO2, NO2, O3, and CO; it also notes three sensor units under test.",Open AirShare and extract live station list; separate automated stations from sensor units.,Sri Lanka official air quality monitoring Central Environmental Authority PM2.5 stations,retrieved,200,text/html; charset=utf-8,https://www.cea.lk/web/en/air-quality,,"This is a regulator-source discovery pass. It does not validate monitor grade, does not prove no monitor exists, does not reconcile source station counts with OpenAQ rows, and does not compute station-radius population coverage."
2026-06-19T06:50:40Z,ai-first,computed,air_monitoring_regulator_source_inventory_v1,MYS,MY,Malaysia,Southeast Asia,positive_gdp_residual_monitor_metadata,18,False,MyEQMS,Department of Environment,https://eqms.doe.gov.my/,official_government_portal,official_air_quality_portal,True,True,yes,True,unknown,False,yes,True,,False,DOE MyEQMS states Malaysia's ambient air quality is monitored through a network of air quality monitoring stations.,Extract station metadata from MyEQMS or DOE publications and compare to OpenAQ rows.,Malaysia Department of Environment official air quality monitoring APIMS PM2.5 stations,retrieved,200,text/html,https://eqms.doe.gov.my/,,"This is a regulator-source discovery pass. It does not validate monitor grade, does not prove no monitor exists, does not reconcile source station counts with OpenAQ rows, and does not compute station-radius population coverage."
