generated_at,attestation_chain,status,method,iso3,iso2,country,subregion,upgrade_queue_class,source_name,agency,source_url,retrieval_url,retrieval_status,http_status,content_type,retrieval_bytes,retrieval_note,extraction_level,source_evidence_type,source_station_id,source_station_name,station_area,source_station_type,source_station_category,latitude,longitude,coordinate_available,pm25_signal,pollutants_listed,live_pm25_value,source_station_count_claim,source_count_basis,openaq_country_rows,nearest_openaq_location_id,nearest_openaq_location_name,nearest_openaq_distance_km,nearest_openaq_within_5km,best_openaq_name_overlap,name_overlap_with_openaq,non_claim
2026-06-19T07:14:55Z,ai-first,computed,air_monitoring_regulator_station_extraction_v1,BGD,BD,Bangladesh,South Asia,baseline_top5_and_positive_gdp_residual,Ambient Air Quality in Bangladesh,Department of Environment,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/014a6e225cf849098389d835538afdc9.pdf,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/014a6e225cf849098389d835538afdc9.pdf,retrieved,200,application/pdf,4481176,,station_coordinates,official_pdf_station_table,CAMS-1,"DoE, Agargaon, Dhaka",,CAMS,,23.777444,90.372617,True,True,PM10; PM2.5; SO2; CO; O3; NOx; meteorological parameters,,31 monitoring sites; 16 CAMS; 15 C-CAMS,PDF text states 16 CAMS and 15 C-CAMS; station table lists 31 IDs.,22,6251395,"Mirpur, Shewrapara | Dhaka | Smart Air Bangladesh",1.158,True,1,True,"This official-source extraction pass does not validate monitor grade, does not prove a monitor exists or does not exist outside OpenAQ, and does not compute station-radius population coverage."
2026-06-19T07:14:55Z,ai-first,computed,air_monitoring_regulator_station_extraction_v1,BGD,BD,Bangladesh,South Asia,baseline_top5_and_positive_gdp_residual,Ambient Air Quality in Bangladesh,Department of Environment,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/014a6e225cf849098389d835538afdc9.pdf,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/014a6e225cf849098389d835538afdc9.pdf,retrieved,200,application/pdf,4481176,,station_coordinates,official_pdf_station_table,CAMS-2,"BARC, Farmgate",,CAMS,,23.760883,90.389319,True,True,PM10; PM2.5; SO2; CO; O3; NOx; meteorological parameters,,31 monitoring sites; 16 CAMS; 15 C-CAMS,PDF text states 16 CAMS and 15 C-CAMS; station table lists 31 IDs.,22,6242079,Moghbazar; Bhodro Goli | Dhaka | Smart Air Bangladesh,1.836,True,0,False,"This official-source extraction pass does not validate monitor grade, does not prove a monitor exists or does not exist outside OpenAQ, and does not compute station-radius population coverage."
2026-06-19T07:14:55Z,ai-first,computed,air_monitoring_regulator_station_extraction_v1,BGD,BD,Bangladesh,South Asia,baseline_top5_and_positive_gdp_residual,Ambient Air Quality in Bangladesh,Department of Environment,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/014a6e225cf849098389d835538afdc9.pdf,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/014a6e225cf849098389d835538afdc9.pdf,retrieved,200,application/pdf,4481176,,station_coordinates,official_pdf_station_table,CAMS-3,"Darus-Salam, Mirpur",,CAMS,,23.782167,90.355783,True,True,PM10; PM2.5; SO2; CO; O3; NOx; meteorological parameters,,31 monitoring sites; 16 CAMS; 15 C-CAMS,PDF text states 16 CAMS and 15 C-CAMS; station table lists 31 IDs.,22,6251395,"Mirpur, Shewrapara | Dhaka | Smart Air Bangladesh",1.85,True,1,True,"This official-source extraction pass does not validate monitor grade, does not prove a monitor exists or does not exist outside OpenAQ, and does not compute station-radius population coverage."
2026-06-19T07:14:55Z,ai-first,computed,air_monitoring_regulator_station_extraction_v1,BGD,BD,Bangladesh,South Asia,baseline_top5_and_positive_gdp_residual,Ambient Air Quality in Bangladesh,Department of Environment,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/014a6e225cf849098389d835538afdc9.pdf,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/014a6e225cf849098389d835538afdc9.pdf,retrieved,200,application/pdf,4481176,,station_coordinates,official_pdf_station_table,CAMS-4,Gazipur,,CAMS,,23.994128,90.422315,True,True,PM10; PM2.5; SO2; CO; O3; NOx; meteorological parameters,,31 monitoring sites; 16 CAMS; 15 C-CAMS,PDF text states 16 CAMS and 15 C-CAMS; station table lists 31 IDs.,22,6234078,Kaliganj | Gazipur | Smart Air Bangladesh,15.813,False,1,True,"This official-source extraction pass does not validate monitor grade, does not prove a monitor exists or does not exist outside OpenAQ, and does not compute station-radius population coverage."
2026-06-19T07:14:55Z,ai-first,computed,air_monitoring_regulator_station_extraction_v1,BGD,BD,Bangladesh,South Asia,baseline_top5_and_positive_gdp_residual,Ambient Air Quality in Bangladesh,Department of Environment,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/014a6e225cf849098389d835538afdc9.pdf,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/014a6e225cf849098389d835538afdc9.pdf,retrieved,200,application/pdf,4481176,,station_coordinates,official_pdf_station_table,CAMS-5,Narayanganj,,CAMS,,23.626079,90.5072,True,True,PM10; PM2.5; SO2; CO; O3; NOx; meteorological parameters,,31 monitoring sites; 16 CAMS; 15 C-CAMS,PDF text states 16 CAMS and 15 C-CAMS; station table lists 31 IDs.,22,22,SPARTAN - Dhaka University,15.878,False,0,False,"This official-source extraction pass does not validate monitor grade, does not prove a monitor exists or does not exist outside OpenAQ, and does not compute station-radius population coverage."
2026-06-19T07:14:55Z,ai-first,computed,air_monitoring_regulator_station_extraction_v1,BGD,BD,Bangladesh,South Asia,baseline_top5_and_positive_gdp_residual,Ambient Air Quality in Bangladesh,Department of Environment,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/014a6e225cf849098389d835538afdc9.pdf,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/014a6e225cf849098389d835538afdc9.pdf,retrieved,200,application/pdf,4481176,,station_coordinates,official_pdf_station_table,CAMS-6,"TV Station, Khulshi",,CAMS,,22.360487,91.800454,True,True,PM10; PM2.5; SO2; CO; O3; NOx; meteorological parameters,,31 monitoring sites; 16 CAMS; 15 C-CAMS,PDF text states 16 CAMS and 15 C-CAMS; station table lists 31 IDs.,22,22,SPARTAN - Dhaka University,209.078,False,0,False,"This official-source extraction pass does not validate monitor grade, does not prove a monitor exists or does not exist outside OpenAQ, and does not compute station-radius population coverage."
2026-06-19T07:14:55Z,ai-first,computed,air_monitoring_regulator_station_extraction_v1,BGD,BD,Bangladesh,South Asia,baseline_top5_and_positive_gdp_residual,Ambient Air Quality in Bangladesh,Department of Environment,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/014a6e225cf849098389d835538afdc9.pdf,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/014a6e225cf849098389d835538afdc9.pdf,retrieved,200,application/pdf,4481176,,station_coordinates,official_pdf_station_table,CAMS-7,Agrabad,,CAMS,,22.323068,91.802242,True,True,PM10; PM2.5; SO2; CO; O3; NOx; meteorological parameters,,31 monitoring sites; 16 CAMS; 15 C-CAMS,PDF text states 16 CAMS and 15 C-CAMS; station table lists 31 IDs.,22,22,SPARTAN - Dhaka University,212.26,False,0,False,"This official-source extraction pass does not validate monitor grade, does not prove a monitor exists or does not exist outside OpenAQ, and does not compute station-radius population coverage."
2026-06-19T07:14:55Z,ai-first,computed,air_monitoring_regulator_station_extraction_v1,BGD,BD,Bangladesh,South Asia,baseline_top5_and_positive_gdp_residual,Ambient Air Quality in Bangladesh,Department of Environment,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/014a6e225cf849098389d835538afdc9.pdf,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/014a6e225cf849098389d835538afdc9.pdf,retrieved,200,application/pdf,4481176,,station_coordinates,official_pdf_station_table,CAMS-8,Boyra,,CAMS,,22.835775,89.529056,True,True,PM10; PM2.5; SO2; CO; O3; NOx; meteorological parameters,,31 monitoring sites; 16 CAMS; 15 C-CAMS,PDF text states 16 CAMS and 15 C-CAMS; station table lists 31 IDs.,22,6236590,"Hazaribagh, Jigatola | Dhaka | Smart Air Bangladesh",132.511,False,0,False,"This official-source extraction pass does not validate monitor grade, does not prove a monitor exists or does not exist outside OpenAQ, and does not compute station-radius population coverage."
2026-06-19T07:14:55Z,ai-first,computed,air_monitoring_regulator_station_extraction_v1,BGD,BD,Bangladesh,South Asia,baseline_top5_and_positive_gdp_residual,Ambient Air Quality in Bangladesh,Department of Environment,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/014a6e225cf849098389d835538afdc9.pdf,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/014a6e225cf849098389d835538afdc9.pdf,retrieved,200,application/pdf,4481176,,station_coordinates,official_pdf_station_table,CAMS-9,Sapura,,CAMS,,24.383221,88.607837,True,True,PM10; PM2.5; SO2; CO; O3; NOx; meteorological parameters,,31 monitoring sites; 16 CAMS; 15 C-CAMS,PDF text states 16 CAMS and 15 C-CAMS; station table lists 31 IDs.,22,3194367,"Dept. of Public Health and Informatics, Jahangirnagar University",176.97,False,0,False,"This official-source extraction pass does not validate monitor grade, does not prove a monitor exists or does not exist outside OpenAQ, and does not compute station-radius population coverage."
2026-06-19T07:14:55Z,ai-first,computed,air_monitoring_regulator_station_extraction_v1,BGD,BD,Bangladesh,South Asia,baseline_top5_and_positive_gdp_residual,Ambient Air Quality in Bangladesh,Department of Environment,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/014a6e225cf849098389d835538afdc9.pdf,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/014a6e225cf849098389d835538afdc9.pdf,retrieved,200,application/pdf,4481176,,station_coordinates,official_pdf_station_table,CAMS-10,Red Crecent Campus,,CAMS,,24.888381,91.867317,True,True,PM10; PM2.5; SO2; CO; O3; NOx; meteorological parameters,,31 monitoring sites; 16 CAMS; 15 C-CAMS,PDF text states 16 CAMS and 15 C-CAMS; station table lists 31 IDs.,22,6219798,"Kalijung,Gazipur",173.651,False,0,False,"This official-source extraction pass does not validate monitor grade, does not prove a monitor exists or does not exist outside OpenAQ, and does not compute station-radius population coverage."
