iso3,country,year,employed_15plus,potential_heat_lost_hours_total,potential_heat_lost_hours_millions,potential_heat_lost_hours_per_employed_person,service_lost_hours,manufacturing_lost_hours,agriculture_lost_hours,construction_lost_hours,agriculture_construction_share_pct,lancet_outdoor_workers,lancet_outdoor_workers_pct,wdi_total_population_proxy_outdoor_workers_millions,wdi_repaired_outdoor_workers_millions,lancet_outdoor_workers_millions,heat_data_status,outdoor_worker_status,retrieved_at,heat_rank_per_worker,heat_rank_total
KHM,Cambodia,2024,9761805,5593398110.0,5593.398,572.99,489593810.0,596834950.0,3553499840.0,953469510.0,80.6,4246336.0,34.3,8.5,4.93,4.25,present,present,2026-07-18,1,10
IND,India,2024,589791584,247386115140.0,247386.115,419.45,17381205730.0,16748784950.0,163320099700.0,49936024760.0,86.2,293145410.0,26.8,798.6,320.67,293.15,present,present,2026-07-18,2,1
PAK,Pakistan,2024,80037693,33059883810.0,33059.884,413.05,4212829010.0,3428793410.0,19733366410.0,5684894980.0,76.9,48189500.0,30.3,123.4,38.66,48.19,present,present,2026-07-18,3,4
LAO,Lao PDR,2024,3631152,1490013260.0,1490.013,410.34,44887460.0,17338000.0,1358016890.0,69770910.0,95.8,478167.0,8.8,5.6,2.57,0.48,present,present,2026-07-18,4,14
THA,Thailand,2024,40711304,16610388560.0,16610.389,408.0,2155992430.0,1913691790.0,10600217570.0,1940486770.0,75.5,20193625.0,33.1,28.7,16.21,20.19,present,present,2026-07-18,5,7
MMR,Myanmar,2024,20940243,8542561630.0,8542.562,407.95,708079170.0,633658880.0,6458802370.0,742021210.0,84.3,16234506.0,39.4,29.6,11.99,16.23,present,present,2026-07-18,6,9
BGD,Bangladesh,2024,74777246,29207023740.0,29207.024,390.59,3757865130.0,2894892830.0,18754548990.0,3799716790.0,77.2,35702121.0,28.6,93.2,37.97,35.7,present,present,2026-07-18,7,5
VNM,Viet Nam,2024,56676566,20281966630.0,20281.967,357.85,1667827270.0,2766856670.0,12733404450.0,3113878240.0,78.1,32916047.0,42.5,43.4,23.89,32.92,present,present,2026-07-18,8,6
LKA,Sri Lanka,2024,8412526,2312858060.0,2312.858,274.93,232354120.0,252521000.0,1427887050.0,400095890.0,79.0,4184972.0,23.2,8.6,3.14,4.18,present,present,2026-07-18,9,12
SLB,Solomon Islands,2024,429342,110653370.0,110.653,257.73,9250810.0,4159090.0,89907890.0,7335580.0,87.9,159479.0,30.9,0.4,0.2,0.16,present,present,2026-07-18,10,20
