iso3,country,rank_cap45,rank_cap22_5,rank_labor,pm25_ugm3,outdoor_labor_share_pct,published_exposed_outdoor_millions_x_total_pop,wdi_population_total,wdi_population_total_year,wdi_pop_0_14_pct,wdi_pop_0_14_year,population_15plus_millions,employment_to_population_15plus_pct,employment_to_population_year,observed_employed_15plus_millions,observed_exposed_outdoor_worker_millions,published_to_observed_worker_ratio,difference_millions_published_minus_observed,baseline_tasmax_1995_2014_c,baseline_tasmax_value_key,future_tasmax_2040_2059_ssp245_c,future_tasmax_value_key,tasmax_delta_c,denominator_status,heat_source_status,cckp_baseline_url,cckp_future_url
AFG,Afghanistan,1,1,2,46.09,61.0,26.0,42647492.0,2024,42.89,2024,24.36,32.46,2025,7.91,4.82,5.39,21.18,18.83,1995-07,20.72,2040-07,1.89,observed WDI denominator joined,national CCKP tasmax visible; no worker heat-exposure join,https://cckpapi.worldbank.org/cckp/v1/cmip6-x0.25_climatology_tasmax_climatology_annual_1995-2014_median_historical_ensemble_all_mean/AFG?format=json,https://cckpapi.worldbank.org/cckp/v1/cmip6-x0.25_climatology_tasmax_climatology_annual_2040-2059_median_ssp245_ensemble_all_mean/AFG?format=json
IND,India,2,3,3,48.39,55.0,798.6,1450935791.0,2024,24.62,2024,1093.66,53.31,2025,583.03,320.67,2.49,477.93,29.68,1995-07,30.77,2040-07,1.09,observed WDI denominator joined,national CCKP tasmax visible; no worker heat-exposure join,https://cckpapi.worldbank.org/cckp/v1/cmip6-x0.25_climatology_tasmax_climatology_annual_1995-2014_median_historical_ensemble_all_mean/IND?format=json,https://cckpapi.worldbank.org/cckp/v1/cmip6-x0.25_climatology_tasmax_climatology_annual_2040-2059_median_ssp245_ensemble_all_mean/IND?format=json
BGD,Bangladesh,3,5,5,42.38,53.7,93.2,173562364.0,2024,27.99,2024,124.98,56.57,2025,70.71,37.97,2.45,55.23,29.88,1995-07,30.83,2040-07,0.95,observed WDI denominator joined,national CCKP tasmax visible; no worker heat-exposure join,https://cckpapi.worldbank.org/cckp/v1/cmip6-x0.25_climatology_tasmax_climatology_annual_1995-2014_median_historical_ensemble_all_mean/BGD?format=json,https://cckpapi.worldbank.org/cckp/v1/cmip6-x0.25_climatology_tasmax_climatology_annual_2040-2059_median_ssp245_ensemble_all_mean/BGD?format=json
PAK,Pakistan,4,7,9,43.0,49.1,123.4,251269164.0,2024,36.68,2024,159.09,49.5,2025,78.75,38.66,3.19,84.71,26.89,1995-07,28.4,2040-07,1.51,observed WDI denominator joined,national CCKP tasmax visible; no worker heat-exposure join,https://cckpapi.worldbank.org/cckp/v1/cmip6-x0.25_climatology_tasmax_climatology_annual_1995-2014_median_historical_ensemble_all_mean/PAK?format=json,https://cckpapi.worldbank.org/cckp/v1/cmip6-x0.25_climatology_tasmax_climatology_annual_2040-2059_median_ssp245_ensemble_all_mean/PAK?format=json
TJK,Tajikistan,5,6,6,37.05,52.8,5.6,10590927.0,2024,36.26,2024,6.75,35.62,2025,2.4,1.27,4.4,4.32,5.36,1995-07,7.19,2040-07,1.83,observed WDI denominator joined,national CCKP tasmax visible; no worker heat-exposure join,https://cckpapi.worldbank.org/cckp/v1/cmip6-x0.25_climatology_tasmax_climatology_annual_1995-2014_median_historical_ensemble_all_mean/TJK?format=json,https://cckpapi.worldbank.org/cckp/v1/cmip6-x0.25_climatology_tasmax_climatology_annual_2040-2059_median_ssp245_ensemble_all_mean/TJK?format=json
NPL,Nepal,6,11,21,45.72,39.0,11.6,29651054.0,2024,28.43,2024,21.22,35.14,2025,7.46,2.91,3.98,8.66,17.68,1995-07,19.07,2040-07,1.39,observed WDI denominator joined,national CCKP tasmax visible; no worker heat-exposure join,https://cckpapi.worldbank.org/cckp/v1/cmip6-x0.25_climatology_tasmax_climatology_annual_1995-2014_median_historical_ensemble_all_mean/NPL?format=json,https://cckpapi.worldbank.org/cckp/v1/cmip6-x0.25_climatology_tasmax_climatology_annual_2040-2059_median_ssp245_ensemble_all_mean/NPL?format=json
MMR,Myanmar,7,4,4,32.32,54.4,29.6,54500091.0,2024,24.3,2024,41.26,53.41,2025,22.03,11.99,2.47,17.66,28.66,1995-07,29.77,2040-07,1.11,observed WDI denominator joined,national CCKP tasmax visible; no worker heat-exposure join,https://cckpapi.worldbank.org/cckp/v1/cmip6-x0.25_climatology_tasmax_climatology_annual_1995-2014_median_historical_ensemble_all_mean/MMR?format=json,https://cckpapi.worldbank.org/cckp/v1/cmip6-x0.25_climatology_tasmax_climatology_annual_2040-2059_median_ssp245_ensemble_all_mean/MMR?format=json
LAO,Lao PDR,8,2,1,22.32,72.6,5.6,7769819.0,2024,30.2,2024,5.42,65.3,2025,3.54,2.57,2.19,3.07,27.91,1995-07,29.18,2040-07,1.27,observed WDI denominator joined,national CCKP tasmax visible; no worker heat-exposure join,https://cckpapi.worldbank.org/cckp/v1/cmip6-x0.25_climatology_tasmax_climatology_annual_1995-2014_median_historical_ensemble_all_mean/LAO?format=json,https://cckpapi.worldbank.org/cckp/v1/cmip6-x0.25_climatology_tasmax_climatology_annual_2040-2059_median_ssp245_ensemble_all_mean/LAO?format=json
CHN,China,9,13,23,34.81,38.0,535.4,1408975000.0,2024,16.01,2024,1183.43,61.57,2025,728.66,276.89,1.93,258.52,12.42,1995-07,14.09,2040-07,1.67,observed WDI denominator joined,national CCKP tasmax visible; no worker heat-exposure join,https://cckpapi.worldbank.org/cckp/v1/cmip6-x0.25_climatology_tasmax_climatology_annual_1995-2014_median_historical_ensemble_all_mean/CHN?format=json,https://cckpapi.worldbank.org/cckp/v1/cmip6-x0.25_climatology_tasmax_climatology_annual_2040-2059_median_ssp245_ensemble_all_mean/CHN?format=json
THA,Thailand,10,10,18,31.01,40.1,28.7,71668011.0,2024,14.75,2024,61.1,66.16,2025,40.42,16.21,1.77,12.53,31.19,1995-07,32.36,2040-07,1.17,observed WDI denominator joined,national CCKP tasmax visible; no worker heat-exposure join,https://cckpapi.worldbank.org/cckp/v1/cmip6-x0.25_climatology_tasmax_climatology_annual_1995-2014_median_historical_ensemble_all_mean/THA?format=json,https://cckpapi.worldbank.org/cckp/v1/cmip6-x0.25_climatology_tasmax_climatology_annual_2040-2059_median_ssp245_ensemble_all_mean/THA?format=json
