iso3,country,cpi_cached_pct,cpi_cached_year,cpi_cached_rank,cpi_live_pct,cpi_live_year,cpi_live_rank,raw_ag_imports_pct_merch,raw_ag_year,raw_ag_rank,food_imports_pct_merch,food_import_year,food_import_rank,original_joint_top3,original_joint_top5,original_joint_top8,original_joint_top10,food_joint_top3_same_cpi,food_joint_top5_same_cpi,food_joint_top8_same_cpi,food_joint_top10_same_cpi,food_joint_top3_live_cpi,food_joint_top5_live_cpi,food_joint_top8_live_cpi,food_joint_top10_live_cpi,coverage_status
BGD,Bangladesh,10.47,2024,4,10.47,2024,4,6.03,2018,1,13.0,2018,21,False,True,True,True,False,False,False,False,False,False,False,False,eligible after food-import repair
KIR,Kiribati,2.46,2024,19,2.46,2024,20,2.3,2021,10,41.44,2021,1,False,False,False,False,False,False,False,False,False,False,False,False,eligible after food-import repair
LAO,Lao PDR,23.13,2024,1,23.13,2024,1,4.57,2023,2,12.69,2023,22,True,True,True,True,False,False,False,False,False,False,False,False,eligible after food-import repair
PAK,Pakistan,12.63,2024,2,12.63,2024,2,4.34,2024,3,14.1,2024,19,True,True,True,True,False,False,False,False,False,False,False,False,eligible after food-import repair
WSM,Samoa,2.17,2024,23,2.17,2024,24,2.31,2024,9,29.63,2024,2,False,False,False,False,False,False,False,False,False,False,False,False,eligible after food-import repair
TLS,Timor-Leste,2.06,2024,24,2.06,2024,25,0.83,2023,23,28.06,2023,3,False,False,False,False,False,False,False,False,False,False,False,False,eligible after food-import repair
VUT,Vanuatu,11.18,2023,3,11.18,2023,3,,,,24.96,2011,8,False,False,False,False,False,False,True,True,False,False,True,True,eligible after food-import repair
FSM,Micronesia,5.41,2022,9,5.41,2022,10,,,,27.76,2013,4,False,False,False,False,False,False,False,True,False,False,False,True,eligible after food-import repair
TJK,Tajikistan,,,,6.0,2016,9,4.12,2023,4,26.46,2023,7,False,False,False,False,False,False,False,False,False,False,False,True,missing CPI or food-import leg
KHM,Cambodia,0.81,2024,30,0.81,2024,31,2.97,2024,5,7.46,2024,36,False,False,False,False,False,False,False,False,False,False,False,False,eligible after food-import repair
TON,Tonga,3.23,2024,16,3.23,2024,17,1.72,2023,15,27.49,2023,5,False,False,False,False,False,False,False,False,False,False,False,False,eligible after food-import repair
UZB,Uzbekistan,9.63,2024,5,9.63,2024,5,1.89,2024,12,12.45,2024,24,False,False,False,False,False,False,False,False,False,False,False,False,eligible after food-import repair
AFG,Afghanistan,-6.6,2024,36,-6.6,2024,39,1.77,2019,14,26.92,2019,6,False,False,False,False,False,False,False,False,False,False,False,False,eligible after food-import repair
BTN,Bhutan,2.76,2024,18,2.76,2024,19,2.9,2023,6,17.82,2023,15,False,False,False,False,False,False,False,False,False,False,False,False,eligible after food-import repair
MMR,Myanmar,8.83,2019,6,8.83,2019,6,0.54,2024,29,9.74,2024,29,False,False,False,False,False,False,False,False,False,False,False,False,eligible after food-import repair
CHN,China,0.22,2024,33,0.22,2024,35,2.66,2024,7,8.11,2024,35,False,False,False,False,False,False,False,False,False,False,False,False,eligible after food-import repair
KAZ,Kazakhstan,8.69,2024,7,8.69,2024,7,0.65,2024,27,10.97,2024,28,False,False,False,False,False,False,False,False,False,False,False,False,eligible after food-import repair
MNG,Mongolia,6.2,2024,8,6.2,2024,8,0.43,2023,32,11.01,2023,27,False,False,False,False,False,False,False,False,False,False,False,False,eligible after food-import repair
