price_spike_threshold_pct,dry_precipitation_z_threshold,broad_wave_market_share_threshold,max_dry_share_for_non_dry_wave,price_spike_cells,dry_aligned_price_spike_cells,dry_share_of_price_spike_cells,broad_non_dry_wave_months,dry_aligned_cluster_months
10.0,-0.5,0.25,0.17,324,148,0.4568,18,27
10.0,-0.5,0.25,0.34,324,148,0.4568,23,22
10.0,-0.5,0.25,0.51,324,148,0.4568,25,20
10.0,-0.5,0.5,0.17,324,148,0.4568,7,16
10.0,-0.5,0.5,0.34,324,148,0.4568,9,14
10.0,-0.5,0.5,0.51,324,148,0.4568,10,13
10.0,-0.5,0.75,0.17,324,148,0.4568,4,11
10.0,-0.5,0.75,0.34,324,148,0.4568,5,10
10.0,-0.5,0.75,0.51,324,148,0.4568,6,9
10.0,-1.0,0.25,0.17,324,35,0.108,35,10
10.0,-1.0,0.25,0.34,324,35,0.108,40,5
10.0,-1.0,0.25,0.51,324,35,0.108,41,4
10.0,-1.0,0.5,0.17,324,35,0.108,19,4
10.0,-1.0,0.5,0.34,324,35,0.108,21,2
10.0,-1.0,0.5,0.51,324,35,0.108,22,1
10.0,-1.0,0.75,0.17,324,35,0.108,11,4
10.0,-1.0,0.75,0.34,324,35,0.108,13,2
10.0,-1.0,0.75,0.51,324,35,0.108,14,1
10.0,-1.5,0.25,0.17,324,13,0.0401,43,2
10.0,-1.5,0.25,0.34,324,13,0.0401,44,1
10.0,-1.5,0.25,0.51,324,13,0.0401,44,1
10.0,-1.5,0.5,0.17,324,13,0.0401,22,1
10.0,-1.5,0.5,0.34,324,13,0.0401,22,1
10.0,-1.5,0.5,0.51,324,13,0.0401,22,1
10.0,-1.5,0.75,0.17,324,13,0.0401,14,1
10.0,-1.5,0.75,0.34,324,13,0.0401,14,1
10.0,-1.5,0.75,0.51,324,13,0.0401,14,1
20.0,-0.5,0.25,0.17,152,64,0.4211,9,11
20.0,-0.5,0.25,0.34,152,64,0.4211,10,10
20.0,-0.5,0.25,0.51,152,64,0.4211,11,9
20.0,-0.5,0.5,0.17,152,64,0.4211,5,7
20.0,-0.5,0.5,0.34,152,64,0.4211,6,6
20.0,-0.5,0.5,0.51,152,64,0.4211,6,6
20.0,-0.5,0.75,0.17,152,64,0.4211,1,1
20.0,-0.5,0.75,0.34,152,64,0.4211,2,0
20.0,-0.5,0.75,0.51,152,64,0.4211,2,0
20.0,-1.0,0.25,0.17,152,17,0.1118,15,5
20.0,-1.0,0.25,0.34,152,17,0.1118,17,3
20.0,-1.0,0.25,0.51,152,17,0.1118,18,2
20.0,-1.0,0.5,0.17,152,17,0.1118,9,3
20.0,-1.0,0.5,0.34,152,17,0.1118,10,2
20.0,-1.0,0.5,0.51,152,17,0.1118,11,1
20.0,-1.0,0.75,0.17,152,17,0.1118,2,0
20.0,-1.0,0.75,0.34,152,17,0.1118,2,0
20.0,-1.0,0.75,0.51,152,17,0.1118,2,0
20.0,-1.5,0.25,0.17,152,6,0.0395,19,1
20.0,-1.5,0.25,0.34,152,6,0.0395,19,1
20.0,-1.5,0.25,0.51,152,6,0.0395,19,1
20.0,-1.5,0.5,0.17,152,6,0.0395,11,1
20.0,-1.5,0.5,0.34,152,6,0.0395,11,1
20.0,-1.5,0.5,0.51,152,6,0.0395,11,1
20.0,-1.5,0.75,0.17,152,6,0.0395,2,0
20.0,-1.5,0.75,0.34,152,6,0.0395,2,0
20.0,-1.5,0.75,0.51,152,6,0.0395,2,0
30.0,-0.5,0.25,0.17,43,21,0.4884,2,3
30.0,-0.5,0.25,0.34,43,21,0.4884,3,2
30.0,-0.5,0.25,0.51,43,21,0.4884,3,2
30.0,-0.5,0.5,0.17,43,21,0.4884,0,1
30.0,-0.5,0.5,0.34,43,21,0.4884,0,1
30.0,-0.5,0.5,0.51,43,21,0.4884,0,1
30.0,-0.5,0.75,0.17,43,21,0.4884,0,0
30.0,-0.5,0.75,0.34,43,21,0.4884,0,0
30.0,-0.5,0.75,0.51,43,21,0.4884,0,0
30.0,-1.0,0.25,0.17,43,3,0.0698,4,1
30.0,-1.0,0.25,0.34,43,3,0.0698,5,0
30.0,-1.0,0.25,0.51,43,3,0.0698,5,0
30.0,-1.0,0.5,0.17,43,3,0.0698,0,1
30.0,-1.0,0.5,0.34,43,3,0.0698,1,0
30.0,-1.0,0.5,0.51,43,3,0.0698,1,0
30.0,-1.0,0.75,0.17,43,3,0.0698,0,0
30.0,-1.0,0.75,0.34,43,3,0.0698,0,0
30.0,-1.0,0.75,0.51,43,3,0.0698,0,0
30.0,-1.5,0.25,0.17,43,0,0.0,5,0
30.0,-1.5,0.25,0.34,43,0,0.0,5,0
30.0,-1.5,0.25,0.51,43,0,0.0,5,0
30.0,-1.5,0.5,0.17,43,0,0.0,1,0
30.0,-1.5,0.5,0.34,43,0,0.0,1,0
30.0,-1.5,0.5,0.51,43,0,0.0,1,0
30.0,-1.5,0.75,0.17,43,0,0.0,0,0
30.0,-1.5,0.75,0.34,43,0,0.0,0,0
30.0,-1.5,0.75,0.51,43,0,0.0,0,0
