iso3,country,generation_concentration_ready,generation_withheld_low_coverage,herfindahl_generation,herfindahl_capacity,generation_coverage,top_fuel_generation,top_fuel_capacity,IC_ELC_OUTG_ZS_value,IC_ELC_OUTG_ZS_year,IC_FRM_OUTG_ZS_value,IC_FRM_OUTG_ZS_year,IC_FRM_INFRA_IN16_value,IC_FRM_INFRA_IN16_year,IC_FRM_INFRA_IN2_value,IC_FRM_INFRA_IN2_year,IC_FRM_INFRA_IN3_C_value,IC_FRM_INFRA_IN3_C_year,IC_FRM_INFRA_IN4_C_value,IC_FRM_INFRA_IN4_C_year,IC_ELC_SAID_XD_DB1619_value,IC_ELC_SAID_XD_DB1619_year,IC_ELC_RSTT_XD_08_DB1619_value,IC_ELC_RSTT_XD_08_DB1619_year,any_reliability_proxy_ready,firm_outage_proxy_ready,doing_business_proxy_ready,bready_utility_proxy_ready,proxy_indicator_count,proxy_indicators_present,generation_and_proxy_ready,high_generation_concentration,high_generation_concentration_and_proxy,IC_ELC_OUTG_value,IC_ELC_OUTG_year,IC_ELC_OUTG_DY_value,IC_ELC_OUTG_DY_year,IC_ELC_OUTG_HR_value,IC_ELC_OUTG_HR_year,IC_BRE_US_OS_value,IC_BRE_US_OS_year,IC_BRE_US_P1_value,IC_BRE_US_P1_year,IC_BRE_US_P2_value,IC_BRE_US_P2_year,IC_BRE_US_P3_value,IC_BRE_US_P3_year
AFG,Afghanistan,True,False,0.9146,0.6539,0.86,Hydro,Hydro,41.75754547,2025,0.0,2025,70.4,2014,11.5,2014,3.8,2014,9.6,2014,1825.0,2015,0.0,2019,True,True,True,False,8,IC.ELC.OUTG.ZS;IC.FRM.OUTG.ZS;IC.FRM.INFRA.IN16;IC.FRM.INFRA.IN2;IC.FRM.INFRA.IN3_C;IC.FRM.INFRA.IN4_C;IC.ELC.SAID.XD.DB1619;IC.ELC.RSTT.XD.08.DB1619,True,True,True,,,,,,,,,,,,,,
ARM,Armenia,True,False,0.5985,0.4487,1.0,Gas,Gas,56.13683701,2024,0.0,2024,62.7,2020,2.5,2020,2.9,2020,0.7,2020,10.86,2019,6.0,2019,True,True,True,False,8,IC.ELC.OUTG.ZS;IC.FRM.OUTG.ZS;IC.FRM.INFRA.IN16;IC.FRM.INFRA.IN2;IC.FRM.INFRA.IN3_C;IC.FRM.INFRA.IN4_C;IC.ELC.SAID.XD.DB1619;IC.ELC.RSTT.XD.08.DB1619,True,False,False,,,,,,,,,,,,,,
AZE,Azerbaijan,True,False,0.7201,0.3739,1.0,Gas,Oil,10.25782299,2024,0.0,2024,27.6,2019,2.1,2019,9.9,2019,1.5,2019,0.86,2019,7.0,2019,True,True,True,False,8,IC.ELC.OUTG.ZS;IC.FRM.OUTG.ZS;IC.FRM.INFRA.IN16;IC.FRM.INFRA.IN2;IC.FRM.INFRA.IN3_C;IC.FRM.INFRA.IN4_C;IC.ELC.SAID.XD.DB1619;IC.ELC.RSTT.XD.08.DB1619,True,False,False,,,,,,,,,,,,,,
BGD,Bangladesh,True,False,0.7425,0.5959,1.0,Gas,Gas,71.35041046,2022,2.0,2022,73.4,2013,64.5,2013,1.2,2013,5.5,2013,,,0.0,2019,True,True,True,True,11,IC.ELC.OUTG.ZS;IC.FRM.OUTG.ZS;IC.FRM.INFRA.IN16;IC.FRM.INFRA.IN2;IC.FRM.INFRA.IN3_C;IC.FRM.INFRA.IN4_C;IC.ELC.RSTT.XD.08.DB1619;IC.BRE.US.OS;IC.BRE.US.P1;IC.BRE.US.P2;IC.BRE.US.P3,True,False,False,,,,,,,62.1047977308432,2024,52.812498062849,2024,50.2935592532158,2024,83.2083358764648,2024
BTN,Bhutan,True,False,1.0,1.0,1.0,Hydro,Hydro,18.56921005,2024,0.0,2024,44.2,2015,0.4,2015,8.1,2015,3.7,2015,7.08,2019,4.0,2019,True,True,True,False,8,IC.ELC.OUTG.ZS;IC.FRM.OUTG.ZS;IC.FRM.INFRA.IN16;IC.FRM.INFRA.IN2;IC.FRM.INFRA.IN3_C;IC.FRM.INFRA.IN4_C;IC.ELC.SAID.XD.DB1619;IC.ELC.RSTT.XD.08.DB1619,True,True,True,,,,,,,,,,,,,,
BRN,Brunei Darussalam,True,False,1.0,1.0,1.0,Gas,Gas,44.42594528,2025,0.0,2025,,,,,,,,,0.37,2019,7.0,2019,True,True,True,False,4,IC.ELC.OUTG.ZS;IC.FRM.OUTG.ZS;IC.ELC.SAID.XD.DB1619;IC.ELC.RSTT.XD.08.DB1619,True,True,True,,,,,,,,,,,,,,
KHM,Cambodia,False,True,,,,,,42.82474136,2023,0.0,2023,35.3,2016,1.4,2016,1.3,2016,3.6,2016,20.78,2019,3.0,2019,True,True,True,True,12,IC.ELC.OUTG.ZS;IC.FRM.OUTG.ZS;IC.FRM.INFRA.IN16;IC.FRM.INFRA.IN2;IC.FRM.INFRA.IN3_C;IC.FRM.INFRA.IN4_C;IC.ELC.SAID.XD.DB1619;IC.ELC.RSTT.XD.08.DB1619;IC.BRE.US.OS;IC.BRE.US.P1;IC.BRE.US.P2;IC.BRE.US.P3,False,False,False,,,,,,,64.4482319851716,2024,56.5624978542328,2024,48.9488622248173,2024,87.8333358764648,2024
CHN,China,True,False,0.5905,0.4948,1.0,Coal,Coal,3.657439232,2024,0.0,2024,33.7,2012,0.1,2012,5.0,2012,1.3,2012,0.83,2019,7.0,2019,True,True,True,False,8,IC.ELC.OUTG.ZS;IC.FRM.OUTG.ZS;IC.FRM.INFRA.IN16;IC.FRM.INFRA.IN2;IC.FRM.INFRA.IN3_C;IC.FRM.INFRA.IN4_C;IC.ELC.SAID.XD.DB1619;IC.ELC.RSTT.XD.08.DB1619,True,False,False,,,,,,,,,,,,,,
FJI,Fiji,False,True,,,,,,84.88577271,2025,0.0,2025,81.8,2009,1.4,2009,2.7,2009,4.9,2009,5.0,2019,4.0,2019,True,True,True,False,8,IC.ELC.OUTG.ZS;IC.FRM.OUTG.ZS;IC.FRM.INFRA.IN16;IC.FRM.INFRA.IN2;IC.FRM.INFRA.IN3_C;IC.FRM.INFRA.IN4_C;IC.ELC.SAID.XD.DB1619;IC.ELC.RSTT.XD.08.DB1619,False,False,False,,,,,,,,,,,,,,
GEO,Georgia,True,False,0.5074,0.5604,1.0,Hydro,Hydro,42.39107132,2023,0.0,2023,54.1,2019,2.2,2019,5.2,2019,0.5,2019,4.69,2019,5.0,2019,True,True,True,True,12,IC.ELC.OUTG.ZS;IC.FRM.OUTG.ZS;IC.FRM.INFRA.IN16;IC.FRM.INFRA.IN2;IC.FRM.INFRA.IN3_C;IC.FRM.INFRA.IN4_C;IC.ELC.SAID.XD.DB1619;IC.ELC.RSTT.XD.08.DB1619;IC.BRE.US.OS;IC.BRE.US.P1;IC.BRE.US.P2;IC.BRE.US.P3,True,False,False,,,,,,,73.0774402916431,2024,81.527774810791,2024,65.2462101876736,2024,72.4583358764648,2024
