iso3,country,plant_count,total_capacity_mw,top_fuel,top_fuel_share,fuel_herfindahl,wdi_elec_access_pct,wdi_elec_access_year,wdi_energy_use_kgoe_per_capita,wdi_energy_use_year
BTN,Bhutan,5,1482.2,Hydro,1.0,1.0,100.0,2023,,
BRN,Brunei Darussalam,4,586.0,Gas,1.0,1.0,100.0,2023,8658.00697644634,2023
NPL,Nepal,14,588.0,Hydro,0.949,0.9032,94.0,2023,442.648852285229,2023
MNG,Mongolia,8,904.0,Coal,0.8894,0.7971,100.0,2023,2176.26135692672,2023
TJK,Tajikistan,10,5296.4,Hydro,0.8848,0.7962,100.0,2023,393.055077961309,2023
KAZ,Kazakhstan,33,18628.0,Coal,0.8518,0.7389,100.0,2023,3650.54759330848,2023
KGZ,Kyrgyzstan,8,3634.0,Hydro,0.8008,0.6758,100.0,2023,591.211507833659,2023
AFG,Afghanistan,9,300.6,Hydro,0.7937,0.6539,85.3,2023,,
BGD,Bangladesh,57,11840.0,Gas,0.7405,0.5959,99.5,2023,287.753137358845,2023
THA,Thailand,196,39654.3,Gas,0.7303,0.5612,100.0,2023,1851.27231424167,2023
GEO,Georgia,19,3831.4,Hydro,0.6737,0.5604,100.0,2023,1530.06712122186,2023
TKM,Turkmenistan,7,3454.0,Oil,0.6587,0.5503,100.0,2023,4558.64639369573,2023
MMR,Myanmar,35,3987.1,Hydro,0.6835,0.538,76.8,2023,410.864214508252,2023
LAO,Lao PDR,20,4986.9,Hydro,0.6234,0.5305,96.5,2023,880.598982763996,2023
UZB,Uzbekistan,16,12640.0,Gas,0.6786,0.5091,100.0,2023,1394.09046714259,2023
FJI,Fiji,12,317.4,Hydro,0.6585,0.4949,99.3,2023,,
CHN,China,4235,1415067.4,Coal,0.6754,0.4948,100.0,2023,2850.94152906511,2023
KHM,Cambodia,16,1517.6,Hydro,0.599,0.4712,95.0,2023,554.905182911585,2023
IND,India,1589,316088.5,Coal,0.6483,0.4548,99.5,2023,763.197899394641,2023
ARM,Armenia,8,3271.0,Gas,0.5903,0.4487,100.0,2023,1300.30532664528,2023
IDN,Indonesia,178,48751.4,Coal,0.6017,0.4408,99.4,2023,982.414925134717,2023
MYS,Malaysia,55,28794.5,Gas,0.4629,0.4232,100.0,2023,3008.82419919301,2023
AZE,Azerbaijan,14,5764.0,Oil,0.4164,0.3739,100.0,2023,1732.19739502846,2023
PNG,Papua New Guinea,15,406.9,Hydro,0.4055,0.3194,20.5,2023,,
VNM,Viet Nam,236,41350.5,Hydro,0.4051,0.3178,99.8,2023,1018.06940422163,2023
LKA,Sri Lanka,48,3720.1,Hydro,0.3875,0.315,100.0,2023,466.718993611413,2023
TWN,Taiwan,39,37211.9,Coal,0.3813,0.2769,,,,
PHL,Philippines,123,20719.3,Coal,0.4214,0.2528,98.0,2023,580.1360554135,2023
PAK,Pakistan,62,21455.0,Hydro,0.3724,0.2347,95.6,2023,414.952130205765,2023
HKG,"Hong Kong SAR, China",0,0,,,,100.0,2023,1517.85567374711,2023
KIR,Kiribati,0,0,,,,95.9,2023,,
MDV,Maldives,0,0,,,,100.0,2023,,
MHL,Marshall Islands,0,0,,,,100.0,2023,,
FSM,"Micronesia, Fed. Sts.",0,0,,,,86.9,2023,,
WSM,Samoa,0,0,,,,100.0,2023,,
SLB,Solomon Islands,0,0,,,,81.3,2023,,
TLS,Timor-Leste,0,0,,,,100.0,2023,,
TON,Tonga,0,0,,,,100.0,2023,,
TUV,Tuvalu,0,0,,,,100.0,2023,,
VUT,Vanuatu,0,0,,,,61.6,2023,,
