iso3,country,urban_pct,urban_pop_growth_pct,rural_pct,population,invisible_urbanization_signal
PNG,Papua New Guinea,15.4,4.07,84.6,10576502,34.41
SLB,Solomon Islands,30.7,4.52,69.3,819198,31.36
AFG,Afghanistan,25.7,3.73,74.3,42647492,27.69
LAO,Lao PDR,39.6,3.27,60.4,7769819,19.75
BGD,Bangladesh,32.7,2.82,67.3,173562364,18.99
VUT,Vanuatu,22.3,2.37,77.7,327777,18.42
BTN,Bhutan,42.6,2.62,57.4,791524,15.04
PAK,Pakistan,39.2,2.42,60.8,251269164,14.71
TJK,Tajikistan,26.2,1.88,73.8,10590927,13.87
IND,India,35.4,1.77,64.6,1450935791,11.47
KGZ,Kyrgyz Republic,34.7,1.75,65.3,7221868,11.43
KIR,Kiribati,62.5,3.0,37.5,134518,11.27
KHM,Cambodia,40.9,1.82,59.1,17638801,10.78
TLS,Timor-Leste,28.7,1.41,71.3,1400638,10.09
UZB,Uzbekistan,51.0,1.97,49.0,36361859,9.68
VNM,Viet Nam,38.5,1.57,61.5,100987686,9.67
TKM,Turkmenistan,47.1,1.79,52.9,7494498,9.48
MDV,Maldives,42.0,1.51,58.0,527799,8.77
ARM,Armenia,65.8,2.48,34.2,3033500,8.49
IDN,Indonesia,58.8,1.9,41.2,283487931,7.83
KAZ,Kazakhstan,62.1,1.79,37.9,20592571,6.8
PHL,Philippines,55.5,1.42,44.5,115843670,6.32
MMR,Myanmar,30.4,0.9,69.6,54500091,6.24
MNG,Mongolia,71.0,1.97,29.0,3524788,5.71
THA,Thailand,61.9,1.47,38.1,71668011,5.62
FJI,Fiji,59.1,1.3,40.9,928784,5.32
WSM,Samoa,17.5,0.63,82.5,218019,5.23
FSM,Micronesia,22.5,0.57,77.5,113160,4.44
MYS,Malaysia,76.9,1.84,23.1,35557673,4.24
AZE,Azerbaijan,58.6,0.59,41.4,10202830,2.46
BRN,Brunei Darussalam,74.9,0.92,25.1,462721,2.32
LKA,Sri Lanka,20.3,0.21,79.7,21916000,1.69
CHN,China,65.9,0.43,34.1,1408975000,1.47
NPL,Nepal,66.8,0.2,33.2,29651054,0.65
GEO,Georgia,61.1,0.11,38.9,3699557,0.42
HKG,"Hong Kong, China",100.0,-0.16,0.0,7524100,0.0
MHL,Marshall Islands,78.7,-2.87,21.3,37548,0.0
NRU,Nauru,100.0,0.6,0.0,11947,0.0
PLW,Palau,79.2,-0.11,20.8,17695,0.0
TON,Tonga,21.2,-0.39,78.8,104175,0.0
TUV,Tuvalu,64.7,-0.64,35.3,9646,0.0
