GID_2,GID_0GHSL,country,window_years,start_year,end_year,DEGURBA_L1_start,DEGURBA_L1_end,transition,Tot_Pop_start,Tot_Pop_end,urban_cell_pop_start,urban_cell_pop_end,embedded_start,embedded_end,embedded_change
AFG.1.1_1,AFG,Afghanistan,10,2010,2020,2,2,remained_town_or_city,100639.720266864,157502.783611447,62814.0459173173,126574.033161163,0.0,0.0,0.0
AFG.1.2_1,AFG,Afghanistan,10,2010,2020,1,2,rural_to_town_or_city,68948.2915671784,111217.477988153,21976.4056857824,74984.6164139993,21976.4056857824,0.0,-21976.4056857824
AFG.1.3_1,AFG,Afghanistan,10,2010,2020,2,3,remained_town_or_city,285390.505820209,459501.868941288,232816.63970666,412736.78894104797,0.0,0.0,0.0
AFG.1.4_1,AFG,Afghanistan,10,2010,2020,1,1,remained_rural,15768.5399026945,26342.4303321098,4179.38882562518,10413.1021648794,4179.38882562518,10413.1021648794,6233.713339254219
AFG.1.5_1,AFG,Afghanistan,10,2010,2020,2,2,remained_town_or_city,106706.59293177,173348.943556041,79491.0291535407,143003.500511661,0.0,0.0,0.0
AFG.1.6_1,AFG,Afghanistan,10,2010,2020,2,2,remained_town_or_city,41244.0026521981,66318.652847223,25904.8098608255,55379.556139335,0.0,0.0,0.0
AFG.1.7_1,AFG,Afghanistan,10,2010,2020,2,2,remained_town_or_city,147481.133972347,236626.97411599,95514.2630146443,182799.06306414312,0.0,0.0,0.0
AFG.1.8_1,AFG,Afghanistan,10,2010,2020,1,1,remained_rural,12040.0472123027,18718.8070073724,0.0,0.0,0.0,0.0,0.0
AFG.1.9_1,AFG,Afghanistan,10,2010,2020,2,2,remained_town_or_city,88093.8641504794,141414.554781372,49048.7433372736,99286.3611540794,0.0,0.0,0.0
AFG.1.10_1,AFG,Afghanistan,10,2010,2020,2,2,remained_town_or_city,50442.1277575046,79639.0143873096,37197.7233397961,68285.4009006619,0.0,0.0,0.0
AFG.1.11_1,AFG,Afghanistan,10,2010,2020,1,1,remained_rural,48054.7621053876,80073.8609018163,11596.2056476758,39726.0664216462,11596.2056476758,39726.0664216462,28129.860773970402
AFG.1.12_1,AFG,Afghanistan,10,2010,2020,1,1,remained_rural,15729.4046071917,25273.3760632873,0.0,0.0,0.0,0.0,0.0
AFG.1.13_1,AFG,Afghanistan,10,2010,2020,1,2,rural_to_town_or_city,5432.68518570065,8232.31929901242,0.0,5061.01413214207,0.0,0.0,0.0
AFG.2.1_1,AFG,Afghanistan,10,2010,2020,2,2,remained_town_or_city,14879.765557766,24031.5750879049,9583.12640166283,22896.6030609608,0.0,0.0,0.0
AFG.2.2_1,AFG,Afghanistan,10,2010,2020,2,2,remained_town_or_city,58171.3017941713,95315.438345015,42377.2845321298,74190.8912475109,0.0,0.0,0.0
AFG.2.3_1,AFG,Afghanistan,10,2010,2020,2,2,remained_town_or_city,83915.0842015743,137436.284639955,49685.8077976704,94697.3239626884,0.0,0.0,0.0
AFG.2.4_1,AFG,Afghanistan,10,2010,2020,1,1,remained_rural,12572.2266882285,20762.4533970766,0.0,0.0,0.0,0.0,0.0
AFG.2.5_1,AFG,Afghanistan,10,2010,2020,2,2,remained_town_or_city,102815.176873893,168457.26341708,80822.899877578,137576.9069462419,0.0,0.0,0.0
AFG.2.6_1,AFG,Afghanistan,10,2010,2020,2,2,remained_town_or_city,107667.174566444,176233.789111212,74886.1021399796,142729.342921197,0.0,0.0,0.0
AFG.2.7_1,AFG,Afghanistan,10,2010,2020,2,2,remained_town_or_city,141207.390356567,231412.638034854,128654.8358380384,218713.65266509308,0.0,0.0,0.0
AFG.3.1_1,AFG,Afghanistan,10,2010,2020,2,2,remained_town_or_city,91404.858371377,118455.031192541,71847.594941318,98526.1669137478,0.0,0.0,0.0
AFG.3.2_1,AFG,Afghanistan,10,2010,2020,2,2,remained_town_or_city,170812.491784932,215437.47371088,158215.2671225369,201807.562667836,0.0,0.0,0.0
