iso3,country,immigrant_stock_2024,emigrant_stock_2024,net_migrant_stock_2024
IND,India,4346401,18533845,-14187444
CHN,China,1565013,11701619,-10136606
BGD,Bangladesh,2460253,8706947,-6246694
AFG,Afghanistan,72948,7528994,-7456046
PHL,Philippines,68921,6988383,-6919462
PAK,Pakistan,3529752,6915057,-3385305
MMR,Myanmar,68866,4320462,-4251596
IDN,Indonesia,418736,3745148,-3326412
VNM,Viet Nam,195821,3693537,-3497716
KAZ,Kazakhstan,1985693,2796572,-810879
NPL,Nepal,458924,2637195,-2178271
MYS,Malaysia,3566509,2433875,1132634
UZB,Uzbekistan,1079134,2114480,-1035346
LKA,Sri Lanka,38716,1492103,-1453387
HKG,Hong Kong SAR,3028860,1240250,1788610
THA,Thailand,2906155,1178757,1727398
TWN,Taiwan,1131146,832507,298639
AZE,Azerbaijan,179594,810116,-630522
KHM,Cambodia,80561,778793,-698232
LAO,Lao PDR,47557,660258,-612701
ARM,Armenia,259042,637604,-378562
KGZ,Kyrgyzstan,190624,540573,-349949
TJK,Tajikistan,276478,514478,-238000
GEO,Georgia,78381,496486,-418105
TKM,Turkmenistan,189691,365787,-176096
FJI,Fiji,12492,181025,-168533
MNG,Mongolia,21818,175596,-153778
WSM,Samoa,3479,119313,-115834
TLS,Timor-Leste,7154,109613,-102459
BTN,Bhutan,51447,66145,-14698
TON,Tonga,998,53237,-52239
BRN,Brunei Darussalam,118709,46552,72157
PNG,Papua New Guinea,30035,35050,-5015
COK,Cook Islands,4090,20288,-16198
VUT,Vanuatu,2420,15202,-12782
FSM,Micronesia,984,13568,-12584
SLB,Solomon Islands,1910,8352,-6442
KIR,Kiribati,2766,6306,-3540
NIU,Niue,530,4955,-4425
MDV,Maldives,70178,2773,67405
PLW,Palau,5070,2674,2396
NRU,Nauru,1489,2484,-995
TUV,Tuvalu,131,1239,-1108
MHL,Marshall Islands,2948,400,2548
