id,code,name,facility_type_name,facility_function_name,facility_level_name,facility_healthcare_level_name,is_active,is_private,division_name,district_name,city_corporation_name,upazila_name,division_code,district_code,city_corporation_code,upazila_code,latitude,longitude,has_valid_coordinate,catchment_count,is_principal_tier,is_clinical_tier,approved_bed_number,has_emergency,has_opd,has_ipd,has_pharmacy,has_pathology,has_ambulance
1,10000001,Dhaka Divisional Health Office,Divisional Level Office,Administrative,Divisional,,1,0,Dhaka,Dhaka,Dhaka South City Corporation,Motijheel,30,26,20,54,23.742545,90.39659940000001,1,1,0,0,0,0,0,0,0,0,0
2,10000002,Directorate General of Health Services (DGHS),Directorate General or Directorate,Administrative,National,Not Applicable,1,0,Dhaka,Dhaka,Dhaka North City Corperation,Banani,30,26,25,07,23.780868,90.399004,1,1,0,0,0,0,0,0,0,0,0
3,10000003,"Institute of Epidemiology, Disease Control & Research (IEDCR)",Public Health Institution,Research,National,Not Applicable,1,0,Dhaka,Dhaka,Dhaka North City Corperation,Banani,30,26,25,07,23.780868,90.399004,1,1,0,0,0,0,0,0,0,0,0
4,10000004,Institute of Public Health (IPH),Public Health Institution,,,,1,0,Dhaka,Dhaka,Dhaka North City Corperation,Banani,30,26,25,07,23.763484,90.3879779,1,1,0,0,0,0,0,0,0,0,0
5,10000005,Institute Of Public Health Nutrition (IPHN),Public Health Institution,,,,1,0,Dhaka,Dhaka,Dhaka North City Corperation,Gulshan,30,26,25,26,23.77829774655746,90.39882870424947,1,1,0,0,0,0,0,0,0,0,0
6,10000006,National Institute Of Cancer Research And Hospital (NICR&H),Postgraduate Institute & Hospital,Hospital/Clinic,National,Tertiary,1,0,Dhaka,Dhaka,Dhaka North City Corperation,Banani,30,26,25,07,23.7,90.375,1,1,1,1,500,1,1,1,1,1,1
7,10000007,National Institute Of Cardiovascular Disease (NICVD),Postgraduate Institute & Hospital,Hospital/Clinic,National,Tertiary,1,0,Dhaka,Dhaka,Dhaka South City Corporation,Sher-e-bangla Nagar,30,26,20,80,23.76989796562597,90.36992006602907,1,1,1,1,1250,1,1,1,1,1,1
8,10000008,National Institute of Diseases of the Chest & Hospital (NIDCH),Postgraduate Institute & Hospital,Hospital/Clinic,National,Tertiary,1,0,Dhaka,Dhaka,Dhaka North City Corperation,Banani,30,26,25,07,23.77584,90.41006269731359,1,1,1,1,870,1,1,1,1,1,1
9,10000009,National Institute of Kidney Disease and Urology (NIKDU),Postgraduate Institute & Hospital,Hospital/Clinic,National,Tertiary,1,0,Dhaka,Dhaka,Dhaka South City Corporation,,30,26,20,,23.7717825879849,90.3684955456621,1,1,1,1,380,1,1,1,1,1,1
10,10000010,National Institute Of Mental Health (NIMH),Postgraduate Institute & Hospital,Hospital/Clinic,National,Tertiary,1,0,Dhaka,Dhaka,Dhaka North City Corperation,Sher-e-bangla Nagar,30,26,25,80,23.77248069257692,90.36834694184812,1,1,1,1,200,1,1,1,1,1,1
11,10000011,National Institute Of Ophthalmology (NIO),Postgraduate Institute & Hospital,Hospital/Clinic,National,Tertiary,1,0,Dhaka,Dhaka,Dhaka North City Corperation,Mohammadpur,30,26,25,50,23.774537544194853,90.36964019731359,1,1,1,1,250,1,1,1,1,1,1
12,10000012,National Institute of Preventive and Social Medicine (NIPSOM),Public Health Institution,Public Health,National,Not Applicable,1,0,Dhaka,Dhaka,Dhaka North City Corperation,Banani,30,26,25,07,23.7786748,90.3996327,1,1,0,0,0,0,0,0,0,1,0
13,10000013,National Institute of Traumatology and Orthopaedic Rehabilitation (NITOR),Postgraduate Institute & Hospital,Hospital/Clinic,National,Tertiary,1,0,Dhaka,Dhaka,Dhaka South City Corporation,,30,26,20,,23.773725992761005,90.37066745129303,1,1,1,1,1000,1,1,1,1,1,1
14,10000014,National Center For Control Of Rheumatic Fever & Heart Disease,Specialized Health Center,Outpatient Clinic,National,Tertiary,1,0,Dhaka,Dhaka,Dhaka North City Corperation,Mohammadpur,30,26,25,50,23.7682534,90.3705566,1,1,1,1,0,0,1,0,1,1,0
15,10000015,A. G. B. Urban Dispensary,Urban Dispensary,Outpatient Clinic,Regional,,1,0,Dhaka,Dhaka,Dhaka South City Corporation,Paltan,30,26,20,65,,,0,1,0,1,0,0,0,0,0,0,0
16,10000016,Armanitola School Health Clinic,School Health Clinic,Outpatient Clinic,Regional,,1,0,Dhaka,Dhaka,Dhaka South City Corporation,Lalbag,30,26,20,42,,,0,1,1,1,0,0,0,0,0,0,0
17,10000017,Azimpur School Health Clinic,School Health Clinic,Outpatient Clinic,Regional,,1,0,Dhaka,Dhaka,Dhaka South City Corporation,Lalbag,30,26,20,42,,,0,1,1,1,0,0,0,0,0,0,0
18,10000018,B. G. Press Urban Dispensary,Urban Dispensary,Outpatient Clinic,Regional,,1,0,Dhaka,Dhaka,Dhaka North City Corperation,Tejgaon,30,26,25,90,23.7648141,90.4089755,1,1,0,1,0,0,0,0,0,0,0
19,10000019,Banga Bhaban Urban Dispensary,Urban Dispensary,Academic,Regional,,1,0,Dhaka,Dhaka,Dhaka South City Corporation,Motijheel,30,26,20,54,,,0,1,0,1,0,0,0,0,0,0,0
20,10000020,Bangladesh Secretariat Clinic,Other Hospital,Hospital/Clinic,"Other, not classified elsewhere",Primary,1,0,Dhaka,Dhaka,Dhaka South City Corporation,Paltan,30,26,20,65,,,0,1,1,1,0,1,1,0,1,1,1
21,10000022,Chattogram Airport Health Office,Port Health Office,Administrative,Divisional,,1,0,Chattogram,Chattogram,Chattogram City Corporation,Chittogram Port,20,15,16,20,,,0,1,0,0,0,0,0,0,0,0,0
22,10000024,National Asthma Center,Specialized Health Center,Hospital/Clinic,National,,1,0,Dhaka,Dhaka,Dhaka North City Corperation,Banani,30,26,25,07,23.776305258292098,90.40948680590917,1,1,1,1,70,1,1,1,0,1,1
23,10000025,Dhaka Civil Surgeon Office,District Level Office,Administration,District,Primary,1,0,Dhaka,Dhaka,Dhaka South City Corporation,Lalbag,30,26,20,42,23.7245,90.3881,1,1,0,0,0,0,0,0,0,0,1
