division_name,district_name,upazila_name,facilities,active_facilities,coordinate_facilities,catchment_facilities,principal_tier_facilities,clinical_tier_facilities,emergency_facilities,opd_facilities,ipd_facilities,approved_beds,coordinate_coverage_pct,catchment_coverage_pct
Dhaka,Gazipur,,20,20,0,20,6,6,0,0,0,0,0.0,100.0
Rajshahi,Rajshahi,,18,18,0,18,7,7,0,0,0,0,0.0,100.0
Mymensingh,Mymensingh,,13,13,0,13,6,6,0,0,0,0,0.0,100.0
Rangpur,Dinajpur,,11,11,0,11,6,6,0,0,0,0,0.0,100.0
Rajshahi,Bogura,,9,9,0,9,1,1,0,0,0,0,0.0,100.0
Dhaka,,,7,7,0,7,0,0,0,0,0,0,0.0,100.0
Khulna,Jashore,,7,7,0,7,3,3,0,0,0,0,0.0,100.0
Barishal,Barishal,,6,6,0,6,3,3,0,0,0,0,0.0,100.0
Chattogram,Bandarban,,6,6,0,6,3,3,0,0,0,0,0.0,100.0
Chattogram,Khagrachari,,6,6,0,6,4,4,0,0,0,0,0.0,100.0
Dhaka,Faridpur,,6,6,0,6,1,1,0,0,0,0,0.0,100.0
Dhaka,Narayanganj,,6,6,0,6,1,2,0,1,0,0,0.0,100.0
Khulna,Jhenaidah,,6,6,0,6,0,0,0,0,0,0,0.0,100.0
Khulna,Satkhira,,6,6,0,6,3,3,1,1,1,500,0.0,100.0
Mymensingh,Jamalpur,,6,6,0,6,2,2,0,0,0,0,0.0,100.0
Rajshahi,Chapainawabganj,,6,6,0,6,4,4,0,0,0,0,0.0,100.0
Rajshahi,Sirajganj,,6,6,0,6,1,1,0,0,0,0,0.0,100.0
Chattogram,Chandpur,,5,5,0,5,2,2,0,0,0,0,0.0,100.0
Sylhet,Maulvibazar,,5,5,0,5,3,3,0,0,0,0,0.0,100.0
Chattogram,Cox's Bazar,,4,4,0,4,2,2,0,0,0,0,0.0,100.0
Chattogram,Noakhali,,4,4,0,4,0,0,0,0,0,0,0.0,100.0
Chattogram,Rangamati,,4,4,0,4,2,2,0,0,0,0,0.0,100.0
Dhaka,Gazipur,Kashimpur,4,4,0,4,4,4,0,0,0,0,0.0,100.0
Khulna,Bagerhat,,4,4,0,4,2,2,0,0,0,0,0.0,100.0
Rajshahi,Naogaon,,4,4,0,4,1,1,0,0,0,0,0.0,100.0
Rangpur,Lalmonirhat,,4,4,0,4,1,1,0,0,0,0,0.0,100.0
Chattogram,,,3,3,0,3,1,2,0,0,0,0,0.0,100.0
Chattogram,Feni,,3,3,0,3,0,0,0,0,0,0,0.0,100.0
Dhaka,Gopalganj,,3,3,0,3,0,0,0,0,0,0,0.0,100.0
Dhaka,Madaripur,,3,3,0,3,0,0,0,0,0,0,0.0,100.0
Dhaka,Manikganj,,3,3,0,3,0,0,0,0,0,0,0.0,100.0
Dhaka,Munshiganj,,3,3,0,3,0,0,0,0,0,0,0.0,100.0
Khulna,Chuadanga,,3,3,0,3,1,1,0,0,0,0,0.0,100.0
Khulna,Narail,,3,3,0,3,0,0,0,0,0,0,0.0,100.0
Rajshahi,,,3,3,0,3,1,1,0,0,0,0,0.0,100.0
Rajshahi,Natore,,3,3,0,3,1,1,0,0,0,0,0.0,100.0
Rangpur,Nilphamari,,3,3,0,3,0,0,0,0,0,0,0.0,100.0
Sylhet,Habiganj,,3,3,0,3,0,0,0,0,0,0,0.0,100.0
Barishal,,,2,2,0,2,2,2,0,0,0,0,0.0,100.0
Barishal,Patuakhali,,2,2,0,2,0,0,0,0,0,0,0.0,100.0
Chattogram,Brahmanbaria,,2,2,0,2,0,0,0,0,0,0,0.0,100.0
Dhaka,Dhaka,Ramna,2,2,0,2,1,1,1,1,1,150,0.0,100.0
Khulna,,,2,2,0,2,1,1,0,0,0,0,0.0,100.0
Khulna,Meherpur,,2,2,0,2,1,1,0,0,0,0,0.0,100.0
Mymensingh,Netrakona,,2,2,0,2,1,1,0,0,0,0,0.0,100.0
Mymensingh,Sherpur,,2,2,0,2,0,0,0,0,0,0,0.0,100.0
Rajshahi,Joypurhat,,2,2,0,2,0,0,0,0,0,0,0.0,100.0
Rajshahi,Pabna,,2,2,0,2,0,0,0,0,0,0,0.0,100.0
Rangpur,Kurigram,,2,2,0,2,0,0,0,0,0,0,0.0,100.0
Rangpur,Thakurgaon,,2,2,0,2,1,1,0,0,0,0,0.0,100.0
Sylhet,,,2,2,0,2,1,1,0,0,0,0,0.0,100.0
Barishal,Barguna,,1,1,0,1,0,0,0,0,0,0,0.0,100.0
Barishal,Bhola,,1,1,0,1,0,0,0,0,0,0,0.0,100.0
Barishal,Pirojpur,,1,1,0,1,0,0,0,0,0,0,0.0,100.0
Chattogram,Chattogram,Sadarghat,1,1,0,1,0,0,0,0,0,0,0.0,100.0
Chattogram,Cox's Bazar,Eidgaon,1,1,0,1,1,1,0,0,0,0,0.0,100.0
Chattogram,Khagrachari,Guimara,1,1,0,1,1,1,0,0,0,0,0.0,100.0
Chattogram,Lakshmipur,,1,1,0,1,0,0,0,0,0,0,0.0,100.0
Dhaka,Dhaka,Sreebardi,1,1,0,1,0,0,0,0,0,0,0.0,100.0
Dhaka,Madaripur,Dasar,1,1,0,1,1,1,0,0,0,0,0.0,100.0
Dhaka,Rajbari,,1,1,0,1,0,0,0,0,0,0,0.0,100.0
Dhaka,Shariatpur,,1,1,0,1,0,0,0,0,0,0,0.0,100.0
Khulna,Magura,,1,1,0,1,0,0,0,0,0,0,0.0,100.0
Mymensingh,,,1,1,0,1,0,0,0,0,0,0,0.0,100.0
Rangpur,Gaibandha,,1,1,0,1,0,0,0,0,0,0,0.0,100.0
Rangpur,Panchagarh,,1,1,0,1,0,0,0,0,0,0,0.0,100.0
