division_name,district_name,upazila_name,join_key,registry_records,active_facilities,active_clinical_facilities,coordinate_facilities,osm_health,osm_hospital,osm_clinic,osm_doctors,osm_to_active_clinical_ratio,registry_minus_osm_clinical,registry_gap_share,buildings_nearest_1km_p85,buildings_nearest_3km_p85,buildings_nearest_5km_p85,underobserved_buildings_3km_p85_proxy,has_open_buildings_denominator,has_osm_boundary_match,total_road_km,classified_surface_km,paved_km,unpaved_km,unknown_surface_km,classified_surface_share,classified_paved_share,classified_unpaved_share,has_road_context,has_surface_context,road_context_score
Dhaka,Gazipur,Gazipur Sadar,gazipur|gazipur sadar,363,363,197,317,58,53,2,3,0.2944,139,0.7056,169309,244840,245243,172755,1,1,3175.84,522.227,410.041,112.186,2653.613,0.1644,0.7852,0.2148,1,1,209863
Dhaka,Narayanganj,Narayanganj Sadar,narayanganj|narayanganj sadar,236,236,141,185,5,4,0,1,0.0355,136,0.9645,122953,145107,145107,139961,1,1,1459.78,195.01,183.13,11.88,1264.77,0.1336,0.9391,0.0609,1,1,148485
Khulna,Kushtia,Kushtia Sadar,kushtia|kushtia sadar,169,169,108,144,6,5,1,0,0.0556,102,0.9444,64920,119680,123184,113031,1,1,970.551,182.926,158.987,23.939,787.625,0.1885,0.8691,0.1309,1,1,127827
Rajshahi,Pabna,Pabna Sadar,pabna|pabna sadar,214,214,144,174,4,4,0,0,0.0278,140,0.9722,61763,111032,115889,107948,1,1,1015.803,181.478,144.379,37.099,834.325,0.1787,0.7956,0.2044,1,1,130013
Dhaka,Narsingdi,Narsingdi Sadar,narsingdi|narsingdi sadar,228,228,123,201,4,4,0,0,0.0325,119,0.9675,71979,103588,103637,100219,1,1,792.438,127.492,121.104,6.388,664.946,0.1609,0.9499,0.0501,1,1,105240
Chattogram,Brahmanbaria,Nabinagar,brahmanbaria|nabinagar,134,134,89,122,1,1,0,0,0.0112,88,0.9888,61498,95713,95718,94638,1,1,723.979,0.341,0.341,0.0,723.638,0.0005,1.0,0.0,1,0,
Mymensingh,Jamalpur,Jamalpur Sadar,jamalpur|jamalpur sadar,234,234,159,195,21,20,1,0,0.1321,138,0.8679,54234,107322,111918,93147,1,1,1019.179,179.873,152.862,27.011,839.306,0.1765,0.8498,0.1502,1,1,107138
Dhaka,Dhaka,Savar,dhaka|savar,260,260,156,205,60,56,4,0,0.3846,96,0.6154,106092,149132,149132,91774,1,1,3691.072,605.023,487.757,117.266,3086.049,0.1639,0.8062,0.1938,1,1,109560
Rajshahi,Chapainawabganj,Shibganj,chapainawabganj|shibganj,117,117,91,105,4,2,1,1,0.044,87,0.956,54887,94091,96025,89955,1,1,737.363,112.353,60.331,52.022,625.01,0.1524,0.537,0.463,1,1,131604
Rangpur,Nilphamari,Nilphamari Sadar,nilphamari|nilphamari sadar,93,93,80,65,25,23,0,2,0.3125,55,0.6875,48616,124735,134674,85755,1,1,1273.721,244.97,213.472,31.498,1028.751,0.1923,0.8714,0.1286,1,1,96783
