division_name,district_name,upazila_name,coordinate_facilities,clinical_tier_facilities,buildings_nearest_1km_all,buildings_nearest_3km_all,buildings_nearest_5km_all,buildings_nearest_1km_p85,buildings_nearest_3km_p85,buildings_nearest_5km_p85,buildings_nearest_1km_p90,buildings_nearest_3km_p90,buildings_nearest_5km_p90
Dhaka,Gazipur,Gazipur Sadar,317,159,305836,452709,453565,169309,244840,245243,98268,139045,139266
Dhaka,Dhaka,Savar,205,119,198854,280968,280968,106092,149132,149132,60323,84230,84230
Dhaka,Narayanganj,Narayanganj Sadar,185,97,206914,251031,251031,122953,145107,145107,75099,86879,86879
Rangpur,Nilphamari,Nilphamari Sadar,65,54,93158,243082,263868,48616,124735,134674,26192,66412,71498
Rangpur,Rangpur,Rangpur Sadar,265,149,140730,248752,253633,70281,121264,123861,37370,62759,64201
Khulna,Kushtia,Kushtia Sadar,144,91,122125,231172,238652,64920,119680,123184,37576,67534,69307
Rajshahi,Pabna,Pabna Sadar,174,111,104506,191419,200377,61763,111032,115889,36496,65191,67968
Mymensingh,Mymensingh,Mymensingh Sadar,262,153,99834,202205,214571,54161,108045,113893,30200,59165,61963
Mymensingh,Jamalpur,Jamalpur Sadar,195,126,103093,209648,219519,54234,107322,111918,29908,57445,59658
Dhaka,Narsingdi,Narsingdi Sadar,201,106,148125,216995,217084,71979,103588,103637,37573,52924,52945
Dhaka,Tangail,Tangail Sadar,189,112,98801,182188,184013,55331,100081,101072,33270,59116,59700
Khulna,Jashore,Jashore Sadar,167,107,106219,173896,173975,62066,99878,99923,37085,58801,58823
Chattogram,Brahmanbaria,Nabinagar,122,83,123154,191356,191369,61498,95713,95718,32585,50721,50723
Rajshahi,Chapainawabganj,Shibganj,105,80,117813,201669,205549,54887,94091,96025,26853,45873,46913
Rajshahi,Bogura,Bogura Sadar,258,157,131021,163987,163987,72296,89737,89737,41068,50627,50627
Rangpur,Thakurgaon,Thakurgaon Sadar,140,100,86684,179834,190514,43408,89658,95273,22837,46619,49690
Chattogram,Chattogram,Fatikchari,91,70,85738,167777,175867,43649,87883,92836,23342,48448,51640
Rangpur,Dinajpur,Dinajpur Sadar,131,85,69218,161903,202850,38902,87093,107343,22063,48050,58419
Khulna,Khulna,Dumuria,78,61,80537,158856,162561,43940,85955,87974,24789,48018,49147
Khulna,Chuadanga,Damurhuda,62,42,63247,144711,160731,35415,80651,89957,21380,48621,54438
Chattogram,Cumilla,Cumilla Adarsha Sadar,261,130,115681,150589,150594,62491,80167,80170,35597,45272,45274
Khulna,Satkhira,Satkhira Sadar,130,71,71886,154053,154469,37027,78031,78228,20528,42248,42357
Chattogram,Cox's Bazar,Ukhia,35,29,63386,157563,186471,29967,76742,92116,13529,35223,42747
Chattogram,Brahmanbaria,Brahmanbaria Sadar,197,111,81842,144024,146365,44227,76699,77831,24401,41997,42572
Dhaka,Narayanganj,Rupganj,75,54,94247,140495,140522,49965,74387,74395,27784,41299,41304
Khulna,Jashore,Monirampur,70,58,54292,130496,130921,30887,73452,73671,18050,42764,42880
Rajshahi,Chapainawabganj,Chapainawabganj Sadar,112,70,88984,150678,154479,42261,72125,74124,21800,37702,38845
Chattogram,Cumilla,Barura,68,50,83824,157077,157077,38338,71363,71363,18482,34258,34258
Dhaka,Dhaka,Dhamrai,105,76,71946,136560,138060,37752,71122,71845,20156,37496,37863
Rajshahi,Rajshahi,Paba,51,43,62658,125220,129326,35888,70926,73296,21231,41537,42939
Dhaka,Narayanganj,Sonargaon,88,61,96320,138344,138365,49875,70633,70641,27238,38183,38187
