division_name_geo,district_name_geo,upazila_name_geo,shape_id,join_key,osm_health,osm_hospital,osm_clinic,osm_doctors
Rangpur,Rangpur,Rangpur Sadar,5055444B60964273253151,rangpur|rangpur sadar,108,48,59,1
Dhaka,Dhaka,Pallabi,5055444B7396550141885,dhaka|pallabi,99,40,42,17
Dhaka,Dhaka,Mohammadpur,5055444B96237484517929,dhaka|mohammadpur,96,36,47,13
Chittagong,Chittagong,Kotwali,5055444B43057747226647,chattogram|kotwali,71,53,7,11
Dhaka,Dhaka,Kafrul,5055444B63983691041165,dhaka|kafrul,63,11,14,38
Dhaka,Dhaka,Savar,5055444B14680374784380,dhaka|savar,60,56,4,0
Khulna,Satkhira,Satkhira Sadar,5055444B68417393184011,satkhira|satkhira sadar,60,18,40,2
Dhaka,Gazipur,Gazipur Sadar,5055444B30367199884921,gazipur|gazipur sadar,58,53,2,3
Rajshani,Bogra,Bogra Sadar,5055444B83464339159312,bogura|bogura sadar,57,49,6,2
Dhaka,Tangail,Tangail Sadar,5055444B87492899662704,tangail|tangail sadar,55,49,5,1
Dhaka,Dhaka,Gulshan,5055444B56461784969328,dhaka|gulshan,47,20,20,7
Dhaka,Dhaka,Khilgaon,5055444B61701169401467,dhaka|khilgaon,44,11,26,7
Mymensingh,Mymensingh,Mymensingh Sadar,5055444B90775494635734,mymensingh|mymensingh sadar,43,41,2,0
Dhaka,Dhaka,Dhanmondi,5055444B44526348177341,dhaka|dhanmondi,41,28,8,5
Chittagong,Cox's Bazar,Ukhia,5055444B67012705011880,coxs bazar|ukhia,37,17,19,1
Dhaka,Dhaka,Adabor,5055444B49102485932636,dhaka|adabor,37,10,11,16
Dhaka,Dhaka,Kalabagan,5055444B44586905762707,dhaka|kalabagan,34,21,9,4
Dhaka,Dhaka,Ramna,5055444B66987540891927,dhaka|ramna,34,23,8,3
Dhaka,Dhaka,Sher-e-bangla Nagar,5055444B71144810702424,dhaka|sher e bangla nagar,34,31,3,0
Khulna,Bagerhat,Bagerhat Sadar,5055444B68778321552411,bagerhat|bagerhat sadar,33,11,21,1
Rajshani,Rajshahi,Boalia,5055444B84943606791974,rajshahi|boalia,32,15,17,0
Dhaka,Dhaka,Mirpur,5055444B1093476169518,dhaka|mirpur,29,21,4,4
Mymensingh,Sherpur,Sherpur Sadar,5055444B8502207940741,sherpur|sherpur sadar,29,28,0,1
Sylhet,Sylhet,Sylhet Sadar,5055444B38529052727167,sylhet|sylhet sadar,27,21,2,4
Rajshani,Rajshahi,Rajpara,5055444B47903202093493,rajshahi|rajpara,26,12,14,0
Dhaka,Dhaka,Shahbagh,5055444B26697181188091,dhaka|shahbagh,25,24,1,0
Khulna,Bagerhat,Sarankhola,5055444B91761091581926,bagerhat|sarankhola,25,3,21,1
Khulna,Jessore,Kotwali,5055444B46202498291187,jashore|jashore sadar,25,20,4,1
Rajshani,Bogra,Shajahanpur,5055444B26369547392038,bogura|shajahanpur,25,22,2,1
Rangpur,Dinajpur,Dinajpur Sadar,5055444B62353958062010,dinajpur|dinajpur sadar,25,19,4,2
Rangpur,Nilphamari,Nilphamari Sadar,5055444B81704367582691,nilphamari|nilphamari sadar,25,23,0,2
Rajshani,Naogaon,Naogaon Sadar,5055444B48392577301269,naogaon|naogaon sadar,23,11,12,0
Rangpur,Kurigram,Raumari,5055444B84227309830947,kurigram|raumari,23,1,22,0
Chittagong,Chittagong,Panchlaish,5055444B64565543707518,chattogram|panchlaish,21,17,4,0
Mymensingh,Jamalpur,Jamalpur Sadar,5055444B56108573685352,jamalpur|jamalpur sadar,21,20,1,0
Rajshani,Natore,Natore Sadar,5055444B49495174582406,natore|natore sadar,21,8,11,2
Chittagong,Comilla,Comilla Adarsha Sadar,5055444B48258460974709,cumilla|cumilla adarsha sadar,20,18,2,0
Dhaka,Manikganj,Manikganj Sadar,5055444B26017737484602,manikganj|manikganj sadar,20,20,0,0
Khulna,Khulna,Dacope,5055444B27282750635430,khulna|dacope,20,1,19,0
Barisal,Barisal,Barisal Sadar (Kotwali),5055444B73276272307545,barishal|barishal sadar,19,15,4,0
Chittagong,Chittagong,Khulshi,5055444B97703922589889,chattogram|khulshi,18,18,0,0
Dhaka,Dhaka,Motijheel,5055444B92723626214353,dhaka|motijheel,18,14,4,0
Khulna,Khulna,Khulna Sadar,5055444B15799752378337,khulna|khulna sadar,18,6,9,3
Rangpur,Nilphamari,Saidpur,5055444B15265131690562,nilphamari|saidpur,18,16,2,0
Dhaka,Dhaka,Jatrabari,5055444B25595964672870,dhaka|jatrabari,17,17,0,0
Dhaka,Dhaka,Sabujbagh,5055444B47617762942552,dhaka|sabujbagh,17,11,6,0
Dhaka,Munshiganj,Munshiganj Sadar,5055444B71946296416416,munshiganj|munshiganj sadar,17,3,14,0
Dhaka,Dhaka,Keraniganj,5055444B13645595955380,dhaka|keraniganj,16,14,2,0
Dhaka,Dhaka,Sutrapur,5055444B49503871645568,dhaka|sutrapur,16,11,1,4
Dhaka,Dhaka,Uttara,5055444B45163668529800,dhaka|uttara,16,13,1,2
Rajshani,Bogra,Sherpur,5055444B70149320100288,bogura|sherpur,16,14,1,1
Barisal,Bhola,Daulatkhan,5055444B15230519967712,bhola|daulatkhan,15,3,12,0
Chittagong,Chittagong,Sitakunda,5055444B64235181700103,chattogram|sitakunda,15,12,2,1
Dhaka,Dhaka,Gendaria,5055444B38357461991586,dhaka|gendaria,15,8,7,0
Dhaka,Gazipur,Kaliakair,5055444B52699552656375,gazipur|kaliakair,15,15,0,0
Dhaka,Gazipur,Sreepur,5055444B53188311171075,gazipur|sreepur,15,13,1,1
Mymensingh,Netrakona,Netrokona Sadar,5055444B11666029706524,netrakona|netrakona sadar,15,2,13,0
Barisal,Bhola,Bhola Sadar,5055444B7097225858324,bhola|bhola sadar,14,2,12,0
Chittagong,Cox's Bazar,Cox's Bazar Sadar,5055444B44088891115489,coxs bazar|coxs bazar sadar,14,13,0,1
Dhaka,Faridpur,Faridpur Sadar,5055444B21946407329202,faridpur|faridpur sadar,14,14,0,0
Dhaka,Tangail,Kalihati,5055444B56749671391085,tangail|kalihati,14,14,0,0
Chittagong,Chittagong,Double Mooring,5055444B66556337069640,chattogram|double mooring,13,9,3,1
Chittagong,Cox's Bazar,Chakaria,5055444B84996258897066,coxs bazar|chakaria,13,12,1,0
Dhaka,Dhaka,Badda,5055444B32230680322744,dhaka|badda,13,7,5,1
Rajshani,Naogaon,Patnitala,5055444B91431094862758,naogaon|patnitala,13,7,5,1
Rangpur,Panchagarh,Panchagarh Sadar,5055444B34393793043573,panchagarh|panchagarh sadar,13,7,5,1
Barisal,Barguna,Barguna Sadar,5055444B33820531733438,barguna|barguna sadar,12,1,11,0
Chittagong,Chittagong,Hathazari,5055444B98016911778597,chattogram|hathazari,12,8,2,2
Chittagong,Chittagong,Mirsharai,5055444B69190373788059,chattogram|mirsharai,12,10,2,0
Chittagong,Chittagong,Patenga,5055444B40707250714885,chattogram|patenga,12,10,1,1
Chittagong,Feni,Feni Sadar,5055444B40138424940148,feni|feni sadar,12,10,2,0
Dhaka,Dhaka,Cantonment,5055444B56407900252664,dhaka|cantonment,12,4,4,4
Dhaka,Dhaka,Paltan,5055444B25185864846738,dhaka|paltan,12,3,9,0
Dhaka,Dhaka,Tejgaon,5055444B91995345267504,dhaka|tejgaon,12,9,2,1
Khulna,Khulna,Sonadanga,5055444B25330959395307,khulna|sonadanga,12,6,5,1
Rajshani,Sirajganj,Sirajganj Sadar,5055444B98549548680688,sirajganj|sirajganj sadar,12,9,2,1
Chittagong,Chittagong,Bayejid Bostami,5055444B75251324769772,chattogram|bayejid bostami,11,9,1,1
Chittagong,Chittagong,Chittagong Port,5055444B96751245569599,chattogram|chattogram port,11,11,0,0
Dhaka,Kishoreganj,Kishoreganj Sadar,5055444B23116047472537,kishoreganj|kishoreganj sadar,11,2,9,0
Dhaka,Tangail,Mirzapur,5055444B21231975915207,tangail|mirzapur,11,10,1,0
Khulna,Khulna,Koyra,5055444B74268178694093,khulna|koyra,11,0,11,0
Khulna,Narail,Kalia,5055444B27555215453497,narail|kalia,11,1,6,4
Mymensingh,Sherpur,Nalitabari,5055444B16793155331867,sherpur|nalitabari,11,10,0,1
Rajshani,Naogaon,Mahadebpur,5055444B79967096461469,naogaon|mahadebpur,11,7,1,3
Rangpur,Dinajpur,Birampur,5055444B79507658875525,dinajpur|birampur,11,4,6,1
Rangpur,Gaibandha,Gobindaganj,5055444B10956713741536,gaibandha|gobindaganj,11,11,0,0
Sylhet,Habiganj,Habiganj Sadar,5055444B24382626124582,habiganj|habiganj sadar,11,8,3,0
Sylhet,Maulvibazar,Maulvi Bazar Sadar,5055444B59699637370048,maulvibazar|maulvibazar sadar,11,5,5,1
Barisal,Patuakhali,Galachipa,5055444B92476324318819,patuakhali|galachipa,10,4,6,0
Barisal,Patuakhali,Patuakhali Sadar,5055444B33989432035169,patuakhali|patuakhali sadar,10,6,4,0
Chittagong,Comilla,Chauddagram,5055444B9070330767349,cumilla|chauddagram,10,8,2,0
Dhaka,Dhaka,Hazaribagh,5055444B79082430711641,dhaka|hazaribagh,10,5,5,0
Dhaka,Dhaka,Lalbagh,5055444B37083431015696,dhaka|lalbagh,10,8,1,1
Dhaka,Munshiganj,Serajdikhan,5055444B42865599243727,munshiganj|serajdikhan,10,8,1,1
Mymensingh,Mymensingh,Muktagachha,5055444B43282791113331,mymensingh|muktagacha,10,10,0,0
Dhaka,Dhaka,Bangshal,5055444B3033227423351,dhaka|bangshal,9,8,1,0
Dhaka,Madaripur,Madaripur Sadar,5055444B75961082304780,madaripur|madaripur sadar,9,8,1,0
Dhaka,Tangail,Dhanbari,5055444B25808786190602,tangail|dhanbari,9,7,1,1
Khulna,Khulna,Dighalia,5055444B20721684317964,khulna|dighalia,9,3,4,2
Khulna,Meherpur,Meherpur Sadar,5055444B46245287013568,meherpur|meherpur sadar,9,4,5,0
Mymensingh,Mymensingh,Bhaluka,5055444B10360406555635,mymensingh|bhaluka,9,8,1,0
Rajshani,Natore,Baraigram,5055444B50551499462707,natore|baraigram,9,7,2,0
Barisal,Bhola,Burhanuddin,5055444B893784701157,bhola|borhanuddin,8,1,7,0
Chittagong,Chittagong,Halishahar,5055444B67671348239307,chattogram|halishahar,8,6,1,1
Chittagong,Chittagong,Raozan,5055444B26554901820582,chattogram|raozan,8,5,1,2
Dhaka,Dhaka,New Market,5055444B9752476477947,dhaka|new market,8,4,1,3
Khulna,Bagerhat,Morrelganj,5055444B56461064683403,bagerhat|morrelganj,8,0,8,0
Khulna,Jhenaidah,Jhenaidah Sadar,5055444B48976868209107,jhenaidah|jhenaidah sadar,8,6,1,1
Khulna,Magura,Magura Sadar,5055444B78521168573013,magura|magura sadar,8,1,7,0
Mymensingh,Mymensingh,Phulpur,5055444B96560704124015,mymensingh|phulpur,8,8,0,0
Mymensingh,Netrakona,Madan,5055444B11405319731642,netrakona|madan,8,3,5,0
Rajshani,Sirajganj,Ullah Para,5055444B69566265360354,sirajganj|ullahpara,8,8,0,0
Rangpur,Panchagarh,Boda,5055444B728279832924,panchagarh|boda,8,7,0,1
Rangpur,Thakurgaon,Thakurgaon Sadar,5055444B92466625108630,thakurgaon|thakurgaon sadar,8,7,1,0
,Maulvibazar,Juri,5055444B59468636811398,maulvibazar|juri,7,7,0,0
Chittagong,Comilla,Muradnagar,5055444B46038543043233,cumilla|muradnagar,7,5,2,0
Dhaka,Dhaka,Rampura,5055444B30627422876303,dhaka|rampura,7,2,5,0
Dhaka,Tangail,Bhuapur,5055444B16297383305925,tangail|bhuapur,7,6,0,1
Dhaka,Tangail,Madhupur,5055444B31553273158599,tangail|madhupur,7,7,0,0
Khulna,Bagerhat,Chitalmari,5055444B77604595910958,bagerhat|chitalmari,7,2,5,0
Khulna,Bagerhat,Mongla,5055444B32061612470944,bagerhat|mongla,7,2,5,0
Khulna,Khulna,Khan Jahan Ali,5055444B24865476374111,khulna|khan jahan ali,7,4,3,0
Khulna,Satkhira,Kalaroa,5055444B76251255413943,satkhira|kalaroa,7,2,5,0
Mymensingh,Mymensingh,Haluaghat,5055444B66377868060311,mymensingh|haluaghat,7,4,2,1
Rajshani,Pabna,Bera,5055444B90956087424891,pabna|bera,7,1,5,1
Sylhet,Sunamganj,Sulla,5055444B90768873722388,sunamganj|sulla,7,1,6,0
Sylhet,Sylhet,Beani Bazar,5055444B74522241895423,sylhet|beanibazar,7,7,0,0
Chittagong,Chittagong,Chandgaon,5055444B37030351476694,chattogram|chandgaon,6,5,0,1
Chittagong,Comilla,Barura,5055444B91077345667431,cumilla|barura,6,3,3,0
Dhaka,Dhaka,Dhamrai,5055444B39396107660312,dhaka|dhamrai,6,6,0,0
Dhaka,Shariatpur,Shariatpur Sadar,5055444B47272791978719,shariatpur|shariatpur sadar,6,6,0,0
Dhaka,Tangail,Ghatail,5055444B57482053594042,tangail|ghatail,6,6,0,0
Khulna,Khulna,Khalishpur,5055444B34358039659895,khulna|khalishpur,6,5,1,0
Khulna,Kushtia,Kushtia Sadar,5055444B28612098242790,kushtia|kushtia sadar,6,5,1,0
Mymensingh,Mymensingh,Trishal,5055444B56674431526223,mymensingh|trishal,6,6,0,0
Rajshani,Natore,Lalpur,5055444B7503946702912,natore|lalpur,6,4,2,0
Rangpur,Kurigram,Char Rajibpur,5055444B63634660661381,kurigram|rajibpur,6,0,6,0
Rangpur,Rangpur,Pirganj,5055444B35718531117283,rangpur|pirganj,6,5,0,1
,Noakhali,Noakhali Sadar (Sudharam),5055444B59544750070179,noakhali|noakhali sadar,5,5,0,0
Chittagong,Chittagong,Anowara,5055444B66497559634365,chattogram|anowara,5,3,2,0
Chittagong,Chittagong,Fatikchhari,5055444B95801532899797,chattogram|fatikchari,5,5,0,0
Chittagong,Comilla,Manoharganj,5055444B22432577988520,cumilla|monoharganj,5,3,2,0
Dhaka,Dhaka,Biman Bandar,5055444B57714745100095,dhaka|biman bandar,5,4,1,0
Dhaka,Gopalganj,Gopalganj Sadar,5055444B13443177435533,gopalganj|gopalganj sadar,5,5,0,0
Dhaka,Gopalganj,Muksudpur,5055444B82620831567558,gopalganj|muksudpur,5,4,1,0
Dhaka,Madaripur,Rajoir,5055444B47802764053873,madaripur|rajoir,5,5,0,0
Dhaka,Manikganj,Shibalaya,5055444B74745553133953,manikganj|shibalaya,5,5,0,0
Dhaka,Narayanganj,Narayanganj Sadar,5055444B24324023791660,narayanganj|narayanganj sadar,5,4,0,1
Dhaka,Rajbari,Rajbari Sadar,5055444B85021187940919,rajbari|rajbari sadar,5,1,3,1
Khulna,Jessore,Chaugachha,5055444B52558284836839,jashore|chaugacha,5,3,2,0
Khulna,Khulna,Batiaghata,5055444B76424346984523,khulna|batiaghata,5,2,3,0
Khulna,Khulna,Paikgachha,5055444B32742026242546,khulna|paikgacha,5,2,3,0
Khulna,Narail,Narail Sadar,5055444B86380402084799,narail|narail sadar,5,5,0,0
Mymensingh,Mymensingh,Ishwarganj,5055444B3881119476901,mymensingh|ishwarganj,5,4,0,1
Mymensingh,Netrakona,Durgapur,5055444B76788625169588,netrakona|durgapur,5,4,1,0
Rajshani,Bogra,Shibganj,5055444B6771742340057,bogura|shibganj,5,5,0,0
Rajshani,Naogaon,Badalgachhi,5055444B60678935174681,naogaon|badalgachhi,5,5,0,0
Rajshani,Natore,Gurudaspur,5055444B53518678954927,natore|gurudaspur,5,3,2,0
Rajshani,Natore,Singra,5055444B99745031093411,natore|singra,5,4,1,0
Rangpur,Kurigram,Chilmari,5055444B31518469261205,kurigram|chilmari,5,1,4,0
Sylhet,Sunamganj,Tahirpur,5055444B95452950620517,sunamganj|tahirpur,5,1,4,0
Sylhet,Sylhet,Companiganj,5055444B34344695185666,sylhet|companiganj,5,5,0,0
Barisal,Barguna,Amtali,5055444B15057296288923,barguna|amtali,4,1,3,0
Barisal,Barguna,Patharghata,5055444B56621242326739,barguna|patharghata,4,1,3,0
Chittagong,Bandarban,Rowangchhari,5055444B74571408942121,bandarban|rowangchari,4,3,1,0
