division_name,district_name,upazila_name,shape_id,join_key,road_segments,road_segments_with_length,road_segments_with_surface,total_road_km,classified_surface_km,paved_km,unpaved_km,unknown_surface_km,osm_surface_km,ml_surface_km,classified_surface_share,classified_paved_share,classified_unpaved_share
Khulna,Jessore,Abhaynagar,5055444B52925985874339,jashore|abhaynagar,1061,1061,16,936.731,40.598,37.934,2.664,896.133,21.336,40.568,0.0433,0.9344,0.0656
Dhaka,Dhaka,Adabor,5055444B49102485932636,dhaka|adabor,711,710,130,95.33,38.726,36.234,2.492,56.604,21.966,36.026,0.4062,0.9357,0.0643
Rajshani,Bogra,Adamdighi,5055444B58770697674534,bogura|adamdighi,147,147,36,163.553,37.98,37.98,0.0,125.573,37.98,0.0,0.2322,1.0,0.0
Rangpur,Lalmonirhat,Aditmari,5055444B32465848615946,lalmonirhat|aditmari,1054,635,15,397.755,14.223,12.555,1.668,383.532,14.223,0.0,0.0358,0.8827,0.1173
Barisal,Barisal,Agailjhara,5055444B95524802719487,barishal|agailjhara,41,41,10,110.794,45.252,45.252,0.0,65.542,45.252,0.0,0.4084,1.0,0.0
Sylhet,Habiganj,Ajmiriganj,5055444B99945132628682,habiganj|ajmiriganj,199,180,14,191.012,17.104,8.363,8.741,173.908,5.363,11.741,0.0895,0.4889,0.5111
Chittagong,Brahamanbaria,Akhaura,5055444B62959054248390,brahmanbaria|akhaura,1662,1656,97,631.818,94.882,23.662,71.22,536.936,89.449,14.283,0.1502,0.2494,0.7506
Rajshani,Joypurhat,Akkelpur,5055444B76477721024576,joypurhat|akkelpur,106,106,3,52.262,7.96,7.96,0.0,44.302,7.96,0.0,0.1523,1.0,0.0
Khulna,Chuadanga,Alamdanga,5055444B84155048182974,chuadanga|alamdanga,517,517,55,476.325,77.341,64.079,13.262,398.984,77.341,0.0,0.1624,0.8285,0.1715
Dhaka,Faridpur,Alfadanga,5055444B55670429127605,faridpur|alfadanga,100,65,3,96.082,7.534,7.534,0.0,88.548,7.534,0.0,0.0784,1.0,0.0
Chittagong,Bandarban,Alikadam,5055444B70145349624714,bandarban|alikadam,1151,1132,7,824.707,24.82,1.262,23.558,799.887,1.154,23.666,0.0301,0.0508,0.9492
Barisal,Barguna,Amtali,5055444B15057296288923,barguna|amtali,1183,1174,35,978.954,84.829,53.786,31.043,894.125,84.829,0.0,0.0867,0.6341,0.3659
Chittagong,Chittagong,Anowara,5055444B66497559634365,chattogram|anowara,2042,2042,63,893.481,35.907,35.789,0.118,857.574,35.907,0.0,0.0402,0.9967,0.0033
Dhaka,Narayanganj,Araihazar,5055444B13859636437629,narayanganj|araihazar,1225,1221,34,716.72,64.244,64.244,0.0,652.476,63.588,27.888,0.0896,1.0,0.0
Chittagong,Brahamanbaria,Ashuganj,5055444B32932838704208,brahmanbaria|ashuganj,625,624,20,287.31,13.72,13.72,0.0,273.59,4.49,13.648,0.0478,1.0,0.0
Khulna,Satkhira,Assasuni,5055444B75161647827572,satkhira|assasuni,177,177,6,381.36,58.659,14.638,44.021,322.701,0.0,58.659,0.1538,0.2495,0.7505
Rajshani,Pabna,Atgharia,5055444B13262596743861,pabna|atgharia,64,64,3,93.931,23.79,23.79,0.0,70.141,23.79,0.0,0.2533,1.0,0.0
Mymensingh,Netrakona,Atpara,5055444B38720066295886,netrakona|atpara,878,878,10,509.462,23.647,14.347,9.3,485.815,23.647,0.0,0.0464,0.6067,0.3933
Rajshani,Naogaon,Atrai,5055444B3575688139772,naogaon|atrai,55,55,0,103.337,0.0,0.0,0.0,103.337,0.0,0.0,0.0,,
Rangpur,Panchagarh,Atwari,5055444B48705627763179,panchagarh|atwari,2308,2307,57,953.286,20.722,0.686,20.036,932.564,20.722,0.0,0.0217,0.0331,0.9669
Dhaka,Kishoreganj,Austagram,5055444B71886622986948,kishoreganj|austagram,237,237,0,226.363,0.0,0.0,0.0,226.363,0.0,0.0,0.0,,
Barisal,Barisal,Babuganj,5055444B11753174954303,barishal|babuganj,89,89,18,93.901,32.825,27.845,4.98,61.076,32.825,5.625,0.3496,0.8483,0.1517
Rajshani,Naogaon,Badalgachhi,5055444B60678935174681,naogaon|badalgachhi,340,340,8,263.774,19.73,19.73,0.0,244.044,19.73,0.0,0.0748,1.0,0.0
Rangpur,Rangpur,Badarganj,5055444B71688043167729,rangpur|badarganj,1030,1030,42,576.675,73.724,24.849,48.875,502.951,28.005,47.441,0.1278,0.3371,0.6629
Dhaka,Dhaka,Badda,5055444B32230680322744,dhaka|badda,4120,4072,621,825.698,184.816,159.576,25.24,640.882,124.744,119.392,0.2238,0.8634,0.1366
Rajshani,Natore,Bagati Para,5055444B5068099947740,natore|bagati para,28,28,0,52.045,0.0,0.0,0.0,52.045,0.0,0.0,0.0,,
Khulna,Bagerhat,Bagerhat Sadar,5055444B68778321552411,bagerhat|bagerhat sadar,1529,1527,160,743.223,91.436,85.26,6.176,651.787,85.028,34.35,0.123,0.9325,0.0675
Rajshani,Rajshahi,Bagha,5055444B95183901987528,rajshahi|bagha,65,62,3,154.726,28.239,28.239,0.0,126.487,28.239,0.0,0.1825,1.0,0.0
Chittagong,Rangamati,Baghai Chhari,5055444B27929495018112,rangamati|baghaichari,177,68,5,131.387,17.252,17.252,0.0,114.135,17.252,0.0,0.1313,1.0,0.0
Khulna,Jessore,Bagher Para,5055444B50671922094556,jashore|bagherpara,1179,1179,4,881.125,20.612,20.612,0.0,860.513,20.612,0.0,0.0234,1.0,0.0
Rajshani,Rajshahi,Baghmara,5055444B7328601552159,rajshahi|baghmara,49,49,0,97.337,0.0,0.0,0.0,97.337,0.0,0.0,0.0,,
Sylhet,Habiganj,Bahubal,5055444B50852908884979,habiganj|bahubal,168,165,53,245.539,128.051,125.792,2.259,117.488,104.376,97.023,0.5215,0.9824,0.0176
Dhaka,Kishoreganj,Bajitpur,5055444B13058474946517,kishoreganj|bajitpur,317,313,6,284.736,42.92,42.92,0.0,241.816,0.0,42.92,0.1507,1.0,0.0
Chittagong,Chittagong,Bakalia,5055444B62979600608461,chattogram|bakalia,1162,1156,118,203.628,27.326,26.44,0.886,176.302,27.326,0.0,0.1342,0.9676,0.0324
Barisal,Barisal,Bakerganj,5055444B60675040208225,barishal|bakerganj,174,174,33,165.125,57.471,56.026,1.445,107.654,44.857,23.909,0.348,0.9749,0.0251
Mymensingh,Jamalpur,Bakshiganj,5055444B53302442828,jamalpur|bakshiganj,346,286,45,225.019,56.848,0.0,56.848,168.171,56.848,0.0,0.2526,0.0,1.0
Sylhet,Sylhet,Balaganj,5055444B42219902295699,sylhet|balaganj,3074,3069,2056,1833.511,1470.185,170.164,1300.021,363.326,1469.805,155.813,0.8018,0.1157,0.8843
Dhaka,Rajbari,Balia Kandi,5055444B27992117808883,rajbari|baliakandi,193,181,3,188.563,18.65,18.328,0.322,169.913,0.566,18.084,0.0989,0.9827,0.0173
Rangpur,Thakurgaon,Baliadangi,5055444B48916414184469,thakurgaon|baliadangi,845,845,4,446.346,0.68,0.68,0.0,445.666,0.68,0.0,0.0015,1.0,0.0
Barisal,Barguna,Bamna,5055444B77373604613442,barguna|bamna,44,44,2,97.524,10.866,10.866,0.0,86.658,10.866,0.0,0.1114,1.0,0.0
Barisal,Barisal,Banari Para,5055444B41993390999306,barishal|banari para,78,78,23,53.924,11.041,11.041,0.0,42.883,11.041,0.0,0.2048,1.0,0.0
Chittagong,Brahamanbaria,Banchharampur,5055444B96018438653421,brahmanbaria|banchharampur,926,872,0,479.173,0.0,0.0,0.0,479.173,0.0,0.0,0.0,,
Dhaka,Narayanganj,Bandar,5055444B32271374417544,narayanganj|bandar,1515,1508,93,577.132,90.378,89.138,1.24,486.754,73.14,37.848,0.1566,0.9863,0.0137
Chittagong,Bandarban,Bandarban Sadar,5055444B74490098108798,bandarban|bandarban sadar,241,239,14,320.955,50.101,26.528,23.573,270.854,32.968,40.195,0.1561,0.5295,0.4705
Dhaka,Dhaka,Bangshal,5055444B3033227423351,dhaka|bangshal,1231,1228,1098,88.502,79.584,70.506,9.078,8.918,75.752,35.776,0.8992,0.8859,0.1141
Sylhet,Habiganj,Baniachong,5055444B40412060728075,habiganj|baniachong,831,810,48,674.671,79.353,76.514,2.839,595.318,79.353,0.0,0.1176,0.9642,0.0358
Chittagong,Chittagong,Banshkhali,5055444B49096359165052,chattogram|banshkhali,1335,1335,4,843.228,3.329,3.329,0.0,839.899,3.329,0.0,0.0039,1.0,0.0
Rajshani,Natore,Baraigram,5055444B50551499462707,natore|baraigram,375,374,21,203.262,54.318,54.318,0.0,148.944,48.374,5.944,0.2672,1.0,0.0
Barisal,Barguna,Barguna Sadar,5055444B33820531733438,barguna|barguna sadar,2223,2223,28,1169.655,35.093,32.449,2.644,1134.562,32.283,13.581,0.03,0.9247,0.0753
Mymensingh,Netrakona,Barhatta,5055444B42611772267022,netrakona|barhatta,746,746,35,419.173,53.922,37.429,16.493,365.251,41.705,12.217,0.1286,0.6941,0.3059
Barisal,Barisal,Barisal Sadar (Kotwali),5055444B73276272307545,barishal|barishal sadar,4988,4986,714,1580.291,326.106,306.05,20.056,1254.185,299.992,128.804,0.2064,0.9385,0.0615
Chittagong,Rangamati,Barkal,5055444B37824837156541,rangamati|barkal,4,4,0,4.437,0.0,0.0,0.0,4.437,0.0,0.0,0.0,,
Sylhet,Maulvibazar,Barlekha,5055444B82170766050132,maulvibazar|barlekha,365,341,127,238.989,113.275,44.787,68.488,125.714,113.275,0.0,0.474,0.3954,0.6046
Chittagong,Comilla,Barura,5055444B91077345667431,cumilla|barura,930,919,278,1015.492,510.653,434.968,75.685,504.839,509.503,33.192,0.5029,0.8518,0.1482
Dhaka,Tangail,Basail,5055444B21032011714269,tangail|basail,181,172,30,405.36,277.164,55.404,221.76,128.196,277.164,277.164,0.6837,0.1999,0.8001
Khulna,Khulna,Batiaghata,5055444B76424346984523,khulna|batiaghata,1944,1939,148,672.375,123.635,116.576,7.059,548.74,95.386,85.321,0.1839,0.9429,0.0571
Barisal,Patuakhali,Bauphal,5055444B39294686315052,patuakhali|bauphal,274,274,47,310.116,108.513,93.382,15.131,201.603,108.513,0.0,0.3499,0.8606,0.1394
