id,code,name,facility_type_name,facility_function_name,facility_level_name,facility_healthcare_level_name,is_active,is_private,division_name,district_name,city_corporation_name,upazila_name,division_code,district_code,city_corporation_code,upazila_code,latitude,longitude,has_valid_coordinate,catchment_count,is_principal_tier,is_clinical_tier,approved_bed_number,has_emergency,has_opd,has_ipd,has_pharmacy,has_pathology,has_ambulance,buildings_nearest_1km_all,buildings_nearest_3km_all,buildings_nearest_5km_all,buildings_nearest_1km_p85,buildings_nearest_3km_p85,buildings_nearest_5km_p85,buildings_nearest_1km_p90,buildings_nearest_3km_p90,buildings_nearest_5km_p90
1,10000001.0,Dhaka Divisional Health Office,Divisional Level Office,Administrative,Divisional,,1,0,Dhaka,Dhaka,Dhaka South City Corporation,Motijheel,30,26.0,20.0,54.0,23.742545,90.3965994,1,1,0,0,0.0,0,0,0,0,0,0,93,93,93,56,56,56,41,41,41
2,10000002.0,Directorate General of Health Services (DGHS),Directorate General or Directorate,Administrative,National,Not Applicable,1,0,Dhaka,Dhaka,Dhaka North City Corperation,Banani,30,26.0,25.0,7.0,23.780868,90.399004,1,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,10000003.0,"Institute of Epidemiology, Disease Control & Research (IEDCR)",Public Health Institution,Research,National,Not Applicable,1,0,Dhaka,Dhaka,Dhaka North City Corperation,Banani,30,26.0,25.0,7.0,23.780868,90.399004,1,1,0,0,0.0,0,0,0,0,0,0,39,39,39,30,30,30,23,23,23
4,10000004.0,Institute of Public Health (IPH),Public Health Institution,,,,1,0,Dhaka,Dhaka,Dhaka North City Corperation,Banani,30,26.0,25.0,7.0,23.763484,90.3879779,1,1,0,0,0.0,0,0,0,0,0,0,134,134,134,93,93,93,65,65,65
5,10000005.0,Institute Of Public Health Nutrition (IPHN),Public Health Institution,,,,1,0,Dhaka,Dhaka,Dhaka North City Corperation,Gulshan,30,26.0,25.0,26.0,23.77829774655746,90.39882870424948,1,1,0,0,0.0,0,0,0,0,0,0,25,25,25,15,15,15,10,10,10
6,10000006.0,National Institute Of Cancer Research And Hospital (NICR&H),Postgraduate Institute & Hospital,Hospital/Clinic,National,Tertiary,1,0,Dhaka,Dhaka,Dhaka North City Corperation,Banani,30,26.0,25.0,7.0,23.7,90.375,1,1,1,1,500.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
7,10000007.0,National Institute Of Cardiovascular Disease (NICVD),Postgraduate Institute & Hospital,Hospital/Clinic,National,Tertiary,1,0,Dhaka,Dhaka,Dhaka South City Corporation,Sher-e-bangla Nagar,30,26.0,20.0,80.0,23.76989796562597,90.36992006602908,1,1,1,1,1250.0,1,1,1,1,1,1,35,35,35,20,20,20,15,15,15
8,10000008.0,National Institute of Diseases of the Chest & Hospital (NIDCH),Postgraduate Institute & Hospital,Hospital/Clinic,National,Tertiary,1,0,Dhaka,Dhaka,Dhaka North City Corperation,Banani,30,26.0,25.0,7.0,23.77584,90.4100626973136,1,1,1,1,870.0,1,1,1,1,1,1,95,95,95,72,72,72,54,54,54
9,10000009.0,National Institute of Kidney Disease and Urology (NIKDU),Postgraduate Institute & Hospital,Hospital/Clinic,National,Tertiary,1,0,Dhaka,Dhaka,Dhaka South City Corporation,,30,26.0,20.0,,23.7717825879849,90.3684955456621,1,1,1,1,380.0,1,1,1,1,1,1,25,25,25,17,17,17,14,14,14
10,10000010.0,National Institute Of Mental Health (NIMH),Postgraduate Institute & Hospital,Hospital/Clinic,National,Tertiary,1,0,Dhaka,Dhaka,Dhaka North City Corperation,Sher-e-bangla Nagar,30,26.0,25.0,80.0,23.77248069257692,90.36834694184812,1,1,1,1,200.0,1,1,1,1,1,1,29,29,29,13,13,13,9,9,9
11,10000011.0,National Institute Of Ophthalmology (NIO),Postgraduate Institute & Hospital,Hospital/Clinic,National,Tertiary,1,0,Dhaka,Dhaka,Dhaka North City Corperation,Mohammadpur,30,26.0,25.0,50.0,23.774537544194853,90.3696401973136,1,1,1,1,250.0,1,1,1,1,1,1,49,49,49,17,17,17,8,8,8
12,10000012.0,National Institute of Preventive and Social Medicine (NIPSOM),Public Health Institution,Public Health,National,Not Applicable,1,0,Dhaka,Dhaka,Dhaka North City Corperation,Banani,30,26.0,25.0,7.0,23.7786748,90.3996327,1,1,0,0,0.0,0,0,0,0,1,0,79,79,79,34,34,34,25,25,25
13,10000013.0,National Institute of Traumatology and Orthopaedic Rehabilitation (NITOR),Postgraduate Institute & Hospital,Hospital/Clinic,National,Tertiary,1,0,Dhaka,Dhaka,Dhaka South City Corporation,,30,26.0,20.0,,23.773725992761005,90.37066745129304,1,1,1,1,1000.0,1,1,1,1,1,1,227,227,227,88,88,88,38,38,38
14,10000014.0,National Center For Control Of Rheumatic Fever & Heart Disease,Specialized Health Center,Outpatient Clinic,National,Tertiary,1,0,Dhaka,Dhaka,Dhaka North City Corperation,Mohammadpur,30,26.0,25.0,50.0,23.7682534,90.3705566,1,1,1,1,0.0,0,1,0,1,1,0,101,101,101,45,45,45,32,32,32
18,10000018.0,B. G. Press Urban Dispensary,Urban Dispensary,Outpatient Clinic,Regional,,1,0,Dhaka,Dhaka,Dhaka North City Corperation,Tejgaon,30,26.0,25.0,90.0,23.7648141,90.4089755,1,1,0,1,0.0,0,0,0,0,0,0,414,414,414,215,215,215,115,115,115
22,10000024.0,National Asthma Center,Specialized Health Center,Hospital/Clinic,National,,1,0,Dhaka,Dhaka,Dhaka North City Corperation,Banani,30,26.0,25.0,7.0,23.776305258292098,90.40948680590915,1,1,1,1,70.0,1,1,1,0,1,1,227,227,227,95,95,95,41,41,41
23,10000025.0,Dhaka Civil Surgeon Office,District Level Office,Administration,District,Primary,1,0,Dhaka,Dhaka,Dhaka South City Corporation,Lalbag,30,26.0,20.0,42.0,23.7245,90.3881,1,1,0,0,0.0,0,0,0,0,0,1,145,145,145,89,89,89,67,67,67
24,10000026.0,Center For Medical Education,Public Health Institution,Academic,National,Not Applicable,1,0,Dhaka,Dhaka,Dhaka North City Corperation,Gulshan,30,26.0,25.0,26.0,23.7777121,90.3996182,1,1,0,0,0.0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2
25,10000027.0,Dhaka Dental College,Dental College,Academic,National,,1,0,Dhaka,Dhaka,Dhaka North City Corperation,Bhasan Tek,30,26.0,25.0,21.0,23.99723563788676,90.41752874851228,1,1,0,0,0.0,0,0,0,0,0,1,70,70,70,38,38,38,24,24,24
26,10000028.0,Dhaka Dental College Hospital,Dental College Hospital,Hospital/Clinic,National,Tertiary,1,0,Dhaka,Dhaka,Dhaka North City Corperation,Bhasan Tek,30,26.0,25.0,21.0,23.7995323,90.3878298,1,1,1,1,200.0,1,1,1,1,1,0,592,592,592,272,272,272,124,124,124
27,10000029.0,Govt. Homeopathic Medical College,College of Alternative Medicine,Academic,Divisional,Not Applicable,1,0,Dhaka,Dhaka,Dhaka North City Corperation,Bhasan Tek,30,26.0,25.0,21.0,23.8033805,90.3883027,1,1,0,0,100.0,1,1,1,1,1,0,714,714,714,265,265,265,114,114,114
29,10000031.0,Dhaka Leprosy Hospital,Leprosy Hospital,Hospital/Clinic,Regional,,1,0,Dhaka,Dhaka,,,30,26.0,,,23.78033868325836,90.40880610043725,1,1,1,1,30.0,0,0,0,0,0,0,25,25,25,15,15,15,12,12,12
31,10000033.0,Dhaka Medical College Hospital,Medical College Hospital,Hospital/Clinic,National,Tertiary,1,0,Dhaka,Dhaka,Dhaka South City Corporation,Shahbag,30,26.0,20.0,75.0,23.72693927984337,90.39748628465776,1,1,1,1,2600.0,1,1,1,1,1,1,58,58,58,39,39,39,27,27,27
