iso3,country,primary_pupil_teacher_ratio,ptr_year,pop_0_14_pct,pop_total,children_0_14_millions,annual_tasmax_1995_2014_celsius,school_heat_pressure_index
KHM,Cambodia,41.7035,2018,29.7931455146284,17638801.0,5.26,31.87,14.2
BGD,Bangladesh,30.05459,2018,27.9889305379593,173562364.0,48.58,29.88,6.8
IND,India,32.74955,2017,24.6239027058366,1450935791.0,357.28,29.68,6.3
PHL,Philippines,29.08352,2017,27.8680674907316,115843670.0,32.28,28.9,5.3
PAK,Pakistan,44.0773,2018,36.6849298308646,251269164.0,92.18,26.89,5.1
WSM,Samoa,,,38.4642199436289,218019.0,0.08,26.77,4.5
SLB,Solomon Islands,25.41046,2018,36.9703661385892,819198.0,0.3,27.83,4.4
LKA,Sri Lanka,21.73735,2018,22.0302867118189,21916000.0,4.83,30.38,4.3
TLS,Timor-Leste,26.94886,2018,33.6584470791168,1400638.0,0.47,27.79,4.2
FJI,Fiji,,,27.0932746472807,928784.0,0.25,27.0,3.6
MMR,Myanmar,24.3599,2018,24.3005300670048,54500091.0,13.24,28.66,3.6
LAO,Lao PDR,22.33717,2018,30.1984061662183,7769819.0,2.35,27.91,3.3
IDN,Indonesia,17.03493,2018,24.5977969421876,283487931.0,69.73,28.94,2.8
THA,Thailand,16.63844,2018,14.7494821643648,71668011.0,10.57,31.19,2.5
VNM,Viet Nam,20.27696,2018,23.2240051365074,100987686.0,23.45,27.67,2.1
MYS,Malaysia,11.6556,2017,21.7863930270916,35557673.0,7.75,29.83,2.0
BRN,Brunei Darussalam,9.89521,2018,20.825269627627,462721.0,0.1,30.19,1.8
MDV,Maldives,10.16278,2017,19.5920227207706,527799.0,0.1,27.9,1.0
AFG,Afghanistan,48.78979,2018,42.8875055536677,42647492.0,18.29,18.83,0.0
ARM,Armenia,15.41859,2018,19.2370774424519,3033500.0,0.58,11.51,0.0
AZE,Azerbaijan,15.42982,2018,21.8116344602457,10202830.0,2.23,16.89,0.0
BTN,Bhutan,34.66868,2018,20.9093969927652,791524.0,0.17,13.99,0.0
CHN,China,16.42675,2018,16.0078123326803,1408975000.0,225.55,12.42,0.0
GEO,Georgia,8.98194,2018,20.7987693261233,3699557.0,0.77,12.63,0.0
HKG,Hong Kong SAR,13.34788,2018,10.5078221116522,7524100.0,0.79,25.14,0.0
KAZ,Kazakhstan,17.21457,2019,29.3732798104715,20592571.0,6.05,12.17,0.0
KGZ,Kyrgyzstan,24.98946,2018,32.3415612198649,7221868.0,2.34,5.43,0.0
MNG,Mongolia,30.38318,2018,32.1932994585014,3524788.0,1.13,7.37,0.0
NPL,Nepal,19.74396,2019,28.4291693571977,29651054.0,8.43,17.68,0.0
TJK,Tajikistan,22.30051,2017,36.2614039233108,10590927.0,3.84,5.36,0.0
TKM,Turkmenistan,,,31.5068646687967,7494498.0,2.36,22.43,0.0
UZB,Uzbekistan,21.50664,2018,31.1034262577169,36361859.0,11.31,18.97,0.0
