iso3,country,water_withdrawal_pct_resources,water_withdrawal_year,agri_land_pct,arable_land_pct,cereal_yield_kg_per_ha,rural_population_pct,water_crop_pressure_index
TKM,Turkmenistan,1867.97153024911,2022,84.2215632115421,3.38675802779137,1834.2,52.9124746089706,79.4
PAK,Pakistan,326.0,2022,46.6933893731839,39.2538397675384,3634.0,60.8265631639095,75.3
AZE,Azerbaijan,160.52988293284,2022,57.8294010889292,25.307924984876,3427.0,41.426204162283,54.4
UZB,Uzbekistan,262.545899632803,2022,58.0551458073301,9.14331101781459,5343.6,49.0013313293457,41.3
AFG,Afghanistan,43.0159066808059,2022,58.4395075356853,12.0294987964368,2358.6,74.2992647363812,32.0
IND,India,44.7786998616874,2022,60.0604064994165,51.752057554344,3632.5,64.6211027631611,23.9
LKA,Sri Lanka,24.5189393939394,2022,48.6081474296799,22.1791141286777,3804.3,79.7003002941314,15.4
ARM,Armenia,44.787869951888,2022,58.5933621376878,15.6598854445336,1961.1,34.1886328550099,15.3
KAZ,Kazakhstan,38.7972027972028,2022,79.3664851650183,10.9899988887654,1529.5,37.927468415838,14.7
BGD,Bangladesh,34.1619047619048,2022,72.311124788429,60.6277888905986,5408.0,67.3216803676693,12.8
KGZ,Kyrgyzstan,15.7510729613734,2022,54.0085714285714,6.70690823774765,2798.6,65.2780022134063,10.3
TLS,Timor-Leste,14.2665855143031,2022,22.9589778076664,7.49831876260928,2129.4,71.3358925820426,10.2
THA,Thailand,25.5253663533918,2022,43.7980778641195,30.9953218892521,3071.7,38.1310661608679,9.5
MDV,Maldives,15.6666666666667,2022,19.7986577181208,13.4228187919463,2441.6,58.0017847282615,9.1
TJK,Tajikistan,16.7065868263473,2022,27.9465379350097,6.08401181641329,4123.9,73.8211936348452,9.0
VNM,Viet Nam,22.7761393355962,2022,39.2147376279795,21.4673179571769,5995.3,61.5099296569824,7.0
PHL,Philippines,19.0056142943633,2022,42.6689472448603,18.7476942683704,3869.2,44.5479016784523,6.6
CHN,China,20.2097479469587,2022,55.4326117545304,11.5492836227566,6418.1,34.1053019001675,3.2
IDN,Indonesia,11.0286322881062,2022,29.1258057551148,9.3962387268892,5828.8,41.2490364612003,2.3
MMR,Myanmar,3.313821300359,2022,19.9140944121838,16.8650803622045,3779.1,69.5500915925864,1.8
LAO,Lao PDR,3.86029411764706,2022,9.90987868284229,5.30329289428076,4196.4,60.4447845598594,1.7
NPL,Nepal,4.79167507568113,2022,26.1185908615277,12.5831880013952,3344.3,33.227656836971,1.4
KHM,Cambodia,1.81094527363184,2022,34.8648294810786,23.3409228416044,3722.1,59.1272966747271,0.9
GEO,Georgia,2.22497849647342,2022,34.1329687724852,4.37473017700389,2568.5,38.9210394906267,0.9
MNG,Mongolia,1.32873563218391,2022,68.9555729589301,0.733569879360895,1295.5,29.0433959960938,0.4
BRN,Brunei Darussalam,1.08235294117647,2022,2.5426944971537,0.759013282732448,2466.7,25.1016866126303,0.3
BTN,Bhutan,0.433205128205128,2022,13.8175144205558,2.62191924488726,3552.3,57.4354750196588,0.2
MYS,Malaysia,1.15637931034483,2022,26.0873535230558,2.38715568406635,3523.7,23.0829703351008,0.2
FJI,Fiji,0.297373029772329,2022,17.0552818828681,4.20361247947455,4109.1,40.9233397707543,0.1
COK,Cook Islands,,,,,,,
HKG,Hong Kong SAR,,,3.80952380952381,1.9047619047619,2059.0,0.0,
KIR,Kiribati,,,41.9753086419753,2.46913580246914,,37.5379568724358,
MHL,Marshall Islands,,,38.8888888888889,2.77777777777778,,21.2674339755888,
FSM,Micronesia,,,7.14285714285714,2.85714285714286,1715.7,77.5437169764579,
NRU,Nauru,,,20.0,,,0.0,
PLW,Palau,,,9.34782608695652,0.652173913043478,,20.7904957121333,
PNG,Papua New Guinea,0.0489513108614232,2022,3.10250408514773,0.728702027116548,4787.4,84.5938183596667,0.0
WSM,Samoa,,,17.5647482014388,3.85251798561151,,82.4970884891982,
SLB,Solomon Islands,,,3.90139335476956,0.821722043586995,1900.5,69.3382811437806,
TWN,Taiwan,,,,,,,
TON,Tonga,,,48.6111111111111,27.7777777777778,,78.8494728874479,
TUV,Tuvalu,,,60.0,,,35.2745206558709,
VUT,Vanuatu,,,15.3404429860541,1.64068908941756,636.2,77.7133066639355,
