rank,iso3,country,water_pct,water_year,yield_kg_ha,rural_pct,water_term,water_term_saturated,yield_term,rural_term,index,index_no_rural,index_flat_rural
1,TKM,Turkmenistan,1867.97153024911,2022,1834.2,52.9124746089706,1.5,True,1.0,0.5291,79.4,150.0,75.0
2,PAK,Pakistan,326.0,2022,3634.0,60.8265631639095,1.5,True,0.8255,0.6083,75.3,123.8,61.9
3,AZE,Azerbaijan,160.52988293284,2022,3427.0,41.426204162283,1.5,True,0.8754,0.4143,54.4,131.3,65.7
4,UZB,Uzbekistan,262.545899632803,2022,5343.6,49.0013313293457,1.5,True,0.5614,0.49,41.3,84.2,42.1
5,AFG,Afghanistan,43.0159066808059,2022,2358.6,74.2992647363812,0.4302,False,1.0,0.743,32.0,43.0,21.5
6,IND,India,44.7786998616874,2022,3632.5,64.6211027631611,0.4478,False,0.8259,0.6462,23.9,37.0,18.5
7,LKA,Sri Lanka,24.5189393939394,2022,3804.3,79.7003002941314,0.2452,False,0.7886,0.797,15.4,19.3,9.7
8,ARM,Armenia,44.787869951888,2022,1961.1,34.1886328550099,0.4479,False,1.0,0.3419,15.3,44.8,22.4
9,KAZ,Kazakhstan,38.7972027972028,2022,1529.5,37.927468415838,0.388,False,1.0,0.3793,14.7,38.8,19.4
10,BGD,Bangladesh,34.1619047619048,2022,5408.0,67.3216803676693,0.3416,False,0.5547,0.6732,12.8,19.0,9.5
11,KGZ,Kyrgyzstan,15.7510729613734,2022,2798.6,65.2780022134063,0.1575,False,1.0,0.6528,10.3,15.8,7.9
12,TLS,Timor-Leste,14.2665855143031,2022,2129.4,71.3358925820426,0.1427,False,1.0,0.7134,10.2,14.3,7.1
13,THA,Thailand,25.5253663533918,2022,3071.7,38.1310661608679,0.2553,False,0.9767,0.3813,9.5,24.9,12.5
14,MDV,Maldives,15.6666666666667,2022,2441.6,58.0017847282615,0.1567,False,1.0,0.58,9.1,15.7,7.8
15,TJK,Tajikistan,16.7065868263473,2022,4123.9,73.8211936348452,0.1671,False,0.7275,0.7382,9.0,12.2,6.1
16,VNM,Viet Nam,22.7761393355962,2022,5995.3,61.5099296569824,0.2278,False,0.5004,0.6151,7.0,11.4,5.7
17,PHL,Philippines,19.0056142943633,2022,3869.2,44.5479016784523,0.1901,False,0.7754,0.4455,6.6,14.7,7.4
18,CHN,China,20.2097479469587,2022,6418.1,34.1053019001675,0.2021,False,0.4674,0.3411,3.2,9.4,4.7
19,IDN,Indonesia,11.0286322881062,2022,5828.8,41.2490364612003,0.1103,False,0.5147,0.4125,2.3,5.7,2.8
20,MMR,Myanmar,3.313821300359,2022,3779.1,69.5500915925864,0.0331,False,0.7938,0.6955,1.8,2.6,1.3
21,LAO,Lao PDR,3.86029411764706,2022,4196.4,60.4447845598594,0.0386,False,0.7149,0.6044,1.7,2.8,1.4
22,NPL,Nepal,4.79167507568113,2022,3344.3,33.227656836971,0.0479,False,0.897,0.3323,1.4,4.3,2.1
23,KHM,Cambodia,1.81094527363184,2022,3722.1,59.1272966747271,0.0181,False,0.806,0.5913,0.9,1.5,0.7
24,GEO,Georgia,2.22497849647342,2022,2568.5,38.9210394906267,0.0222,False,1.0,0.3892,0.9,2.2,1.1
25,MNG,Mongolia,1.32873563218391,2022,1295.5,29.0433959960938,0.0133,False,1.0,0.2904,0.4,1.3,0.7
26,BRN,Brunei Darussalam,1.08235294117647,2022,2466.7,25.1016866126303,0.0108,False,1.0,0.251,0.3,1.1,0.5
27,BTN,Bhutan,0.433205128205128,2022,3552.3,57.4354750196588,0.0043,False,0.8445,0.5744,0.2,0.4,0.2
28,MYS,Malaysia,1.15637931034483,2022,3523.7,23.0829703351008,0.0116,False,0.8514,0.2308,0.2,1.0,0.5
29,FJI,Fiji,0.297373029772329,2022,4109.1,40.9233397707543,0.003,False,0.7301,0.4092,0.1,0.2,0.1
30,PNG,Papua New Guinea,0.0489513108614232,2022,4787.4,84.5938183596667,0.0005,False,0.6266,0.8459,0.0,0.0,0.0
