iso3,country,poverty_pct,poverty_year,sp_coverage_pct,sp_year,findex_account_pct,findex_year,legs_present,shock_payment_readiness_gap,in_headline_five
PAK,Pakistan,23.0,2024,22.0928,2018,20.9806,2021,both,18.0,True
VUT,Vanuatu,19.5,2019,30.352,2019,,,sp-only,13.6,False
MMR,Myanmar,10.3,2017,13.9684,2017,47.791,2021,both,7.1,True
LAO,Lao PDR,7.1,2024,2.1592,2018,37.32,2021,both,5.7,True
TJK,Tajikistan,6.1,2024,,,39.4882,2021,acc-only,3.7,False
PHL,Philippines,5.3,2023,43.0411,2018,51.3718,2021,both,2.8,True
BGD,Bangladesh,5.9,2022,55.5564,2022,52.8061,2021,both,2.7,True
IDN,Indonesia,5.4,2024,65.093,2022,51.7553,2021,both,2.2,False
UZB,Uzbekistan,2.7,2024,25.4578,2018,44.1348,2021,both,1.8,False
GEO,Georgia,4.2,2024,65.9739,2021,70.4987,2021,both,1.3,False
IND,India,5.3,2022,,,77.5291,2021,acc-only,1.2,False
KGZ,Kyrgyzstan,2.2,2024,55.1526,2020,45.0948,2021,both,1.1,False
NPL,Nepal,2.4,2022,,,54.0027,2021,acc-only,1.1,False
LKA,Sri Lanka,2.7,2019,37.5004,2019,89.2707,2021,both,1.0,False
MHL,Marshall Islands,2.1,2019,62.732,2019,,,sp-only,0.8,False
KIR,Kiribati,0.9,2023,51.7177,2019,,,sp-only,0.4,False
VNM,Viet Nam,1.6,2022,89.4056,2020,56.2658,2022,both,0.4,False
ARM,Armenia,0.8,2024,75.295,2022,55.3477,2021,both,0.3,False
BTN,Bhutan,0.0,2022,8.971,2022,,,sp-only,0.0,False
CHN,China,0.0,2022,,,88.709,2021,acc-only,0.0,False
KAZ,Kazakhstan,0.0,2021,57.2609,2021,81.1085,2021,both,0.0,False
MYS,Malaysia,0.0,2021,76.6754,2016,88.3749,2021,both,0.0,False
MDV,Maldives,0.0,2019,28.6075,2019,79.5464,2017,both,0.0,False
MNG,Mongolia,0.4,2022,92.6014,2020,98.455,2021,both,0.0,False
THA,Thailand,0.0,2024,87.1883,2021,95.577,2021,both,0.0,False
